HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N10.HOG0000000	OG0000000	n6		FUN_025830-T1											
N10.HOG0000001	OG0000000	n9		FUN_006778-T1, FUN_017959-T1											
N10.HOG0000002	OG0000000	n16		FUN_026625-T1											
N10.HOG0000003	OG0000000	n22		FUN_008590-T1											
N10.HOG0000004	OG0000000	n27		FUN_011246-T1, FUN_013710-T1, FUN_027236-T1, FUN_011348-T1, FUN_011345-T1, FUN_009740-T1, FUN_003749-T1, FUN_004359-T1, FUN_017232-T1, FUN_008155-T1, FUN_007638-T1, FUN_007406-T1, FUN_009820-T1, FUN_016154-T1, FUN_008177-T1, FUN_009115-T1, FUN_006689-T1, FUN_012514-T1, FUN_011254-T1, FUN_010860-T1, FUN_010916-T1, FUN_014180-T1, FUN_014828-T1, FUN_007988-T1, FUN_013474-T1, FUN_026898-T1, FUN_026277-T1, FUN_025737-T1, FUN_025747-T1, FUN_016197-T1, FUN_017963-T1, FUN_019947-T1, FUN_027234-T1, FUN_009687-T1											
N10.HOG0000005	OG0000000	n28		FUN_027243-T1											
N10.HOG0000006	OG0000000	n33		FUN_016496-T1, FUN_027237-T1, FUN_027235-T1											
N10.HOG0000007	OG0000000	n43		FUN_025241-T1											
N10.HOG0000008	OG0000000	n49		FUN_016833-T1											
N10.HOG0000009	OG0000000	n50		FUN_016895-T1											
N10.HOG0000010	OG0000000	n51		FUN_004286-T1											
N10.HOG0000011	OG0000000	n59		FUN_011901-T1, FUN_007566-T1, FUN_014441-T1, FUN_028400-T1											
N10.HOG0000012	OG0000000	n69		FUN_009576-T1, FUN_016187-T1											
N10.HOG0000013	OG0000000	n72		FUN_018360-T1, FUN_017821-T1, FUN_017008-T1											
N10.HOG0000014	OG0000000	n73		FUN_016223-T1, FUN_009705-T1, FUN_026364-T1											
N10.HOG0000015	OG0000000	n78		FUN_011584-T1											
N10.HOG0000016	OG0000000	n80		FUN_026389-T1											
N10.HOG0000017	OG0000000	n84		FUN_026288-T1											
N10.HOG0000018	OG0000000	n92		FUN_006055-T1											
N10.HOG0000019	OG0000000	n94		FUN_026874-T1											
N10.HOG0000020	OG0000000	n95		FUN_025809-T1											
N10.HOG0000021	OG0000000	n100		FUN_011274-T1, FUN_021173-T1, FUN_016486-T1											
N10.HOG0000022	OG0000000	n101		FUN_005799-T1											
N10.HOG0000023	OG0000000	n102		FUN_029801-T1											
