HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N4.HOG0000000	OG0000001	n0									rna-XM_034405088.1, rna-XM_034414751.1, rna-XM_034402121.1				rna-XM_032212982.1
N4.HOG0000001	OG0000002	n6													rna-XM_032220226.1
N4.HOG0000002	OG0000002	n18									rna-XM_034429092.1				
N4.HOG0000003	OG0000002	n70									rna-XM_034404272.1				
N4.HOG0000004	OG0000003	n7									rna-XM_034406440.1				
N4.HOG0000005	OG0000003	n9									rna-XM_034405587.1				
N4.HOG0000006	OG0000003	n13													rna-XM_032208577.1
N4.HOG0000007	OG0000003	n21									rna-XM_034431670.1				
N4.HOG0000008	OG0000003	n31													rna-XM_032209839.1
N4.HOG0000009	OG0000003	n47									rna-XM_034405504.1				
N4.HOG0000010	OG0000003	n61									rna-XM_034405575.1				rna-XM_032209853.1
N4.HOG0000011	OG0000003	n64									rna-XM_034405369.1, rna-XM_034405905.1, rna-XM_034411992.1				
N4.HOG0000012	OG0000003	n75									rna-XM_034405063.1				
N4.HOG0000013	OG0000003	n89									rna-XM_034406171.1				
N4.HOG0000014	OG0000003	n110									rna-XM_034405208.1				
N4.HOG0000015	OG0000003	n120									rna-XM_034405678.1, rna-XM_034404830.1				rna-XM_032209725.1
N4.HOG0000016	OG0000003	n127									rna-XM_034407328.1				
N4.HOG0000017	OG0000003	n154													rna-XM_032210137.1
N4.HOG0000018	OG0000003	n157													rna-XM_032208420.1
N4.HOG0000019	OG0000003	n169									rna-XM_034406749.1				
N4.HOG0000020	OG0000003	n170									rna-XM_034421862.1				rna-XM_032209854.1
N4.HOG0000021	OG0000003	n174													rna-XM_032209728.1
N4.HOG0000022	OG0000003	n178									rna-XM_034406255.1				rna-XM_032210387.1
N4.HOG0000023	OG0000003	n197									rna-XM_034405601.1				
N4.HOG0000024	OG0000003	n201									rna-XM_034406724.1				rna-XM_032211691.1
N4.HOG0000025	OG0000003	n211									rna-XM_034407840.1				
N4.HOG0000026	OG0000003	n217									rna-XM_034406050.1, rna-XM_034407235.1				rna-XM_032210145.1, rna-XM_032210143.1
N4.HOG0000027	OG0000003	n220									rna-XM_034405179.1				rna-XM_032209841.1
N4.HOG0000028	OG0000003	n223									rna-XM_034408261.1				
N4.HOG0000029	OG0000003	n225									rna-XM_034407313.1				
N4.HOG0000030	OG0000003	n228									rna-XM_034405992.1, rna-XM_034405672.1				
N4.HOG0000031	OG0000003	n260									rna-XM_034408388.1				
N4.HOG0000032	OG0000003	n307									rna-XM_034404761.1, rna-XM_034407708.1				
N4.HOG0000033	OG0000003	n310									rna-XM_034404681.1				
N4.HOG0000034	OG0000003	n316													rna-XM_032232958.1, rna-XM_032232514.1
N4.HOG0000035	OG0000003	n319													rna-XM_032232959.1, rna-XM_032233189.1
N4.HOG0000036	OG0000003	n321													rna-XM_032232963.1
N4.HOG0000037	OG0000003	n322													rna-XM_032233556.1, rna-XM_032232768.1, rna-XM_032232517.1, rna-XM_032232417.1, rna-XM_032232731.1, rna-XM_032234435.1, rna-XM_032233758.1, rna-XM_032233759.1, rna-XM_032233190.1
N4.HOG0000038	OG0000003	n330													rna-XM_032233650.1, rna-XM_032233659.1
N4.HOG0000039	OG0000003	n334									rna-XM_034405701.1				rna-XM_032232961.1, rna-XM_032232771.1, rna-XM_032233188.1, rna-XM_032233034.1
N4.HOG0000040	OG0000003	n347													rna-XM_032233186.1
N4.HOG0000041	OG0000003	n361									rna-XM_034432982.1				
N4.HOG0000042	OG0000003	n382									rna-XM_034421441.1				
N4.HOG0000043	OG0000003	n403									rna-XM_034404750.1				
N4.HOG0000044	OG0000003	n404									rna-XM_034407063.1				
N4.HOG0000045	OG0000003	n406									rna-XM_034405717.1, rna-XM_034406222.1				
N4.HOG0000046	OG0000004	n6									rna-XM_034406393.1				rna-XM_032239117.1
N4.HOG0000047	OG0000004	n9									rna-XM_034431679.1, rna-XM_034431672.1, rna-XM_034431666.1, rna-XM_034431674.1				
N4.HOG0000048	OG0000004	n16													rna-XM_032208586.1
N4.HOG0000049	OG0000004	n33									rna-XM_034408089.1, rna-XM_034431671.1				rna-XM_032208569.1, rna-XM_032208574.1
N4.HOG0000050	OG0000004	n48									rna-XM_034430954.1				
N4.HOG0000051	OG0000004	n51									rna-XM_034411971.1				
N4.HOG0000052	OG0000004	n61									rna-XM_034432977.1, rna-XM_034411995.1				rna-XM_032208504.1
N4.HOG0000053	OG0000004	n67									rna-XM_034411996.1, rna-XM_034404638.1				rna-XM_032208477.1, rna-XM_032209686.1
N4.HOG0000054	OG0000004	n77									rna-XM_034411981.1, rna-XM_034404662.1				
N4.HOG0000055	OG0000004	n91									rna-XM_034411990.1				rna-XM_032209705.1
N4.HOG0000056	OG0000004	n105									rna-XM_034411978.1				
N4.HOG0000057	OG0000004	n114													rna-XM_032209759.1, rna-XM_032208482.1, rna-XM_032208480.1
N4.HOG0000058	OG0000004	n120									rna-XM_034407448.1, rna-XM_034406045.1				rna-XM_032209678.1
N4.HOG0000059	OG0000004	n127									rna-XM_034411975.1				rna-XM_032209860.1, rna-XM_032208475.1, rna-XM_032209706.1, rna-XM_032209692.1
N4.HOG0000060	OG0000004	n131									rna-XM_034411968.1				
N4.HOG0000061	OG0000004	n143									rna-XM_034405569.1				rna-XM_032208476.1
N4.HOG0000062	OG0000004	n152									rna-XM_034407587.1, rna-XM_034407011.1				
N4.HOG0000063	OG0000004	n163									rna-XM_034430972.1				
N4.HOG0000064	OG0000004	n181									rna-XM_034411980.1, rna-XM_034406002.1, rna-XM_034408085.1, rna-XM_034411963.1				
N4.HOG0000065	OG0000004	n190													rna-XM_032208472.1, rna-XM_032209856.1
N4.HOG0000066	OG0000004	n215									rna-XM_034405742.1				
N4.HOG0000067	OG0000004	n220									rna-XM_034405897.1				
N4.HOG0000068	OG0000004	n353									rna-XM_034405577.1, rna-XM_034406433.1, rna-XM_034407766.1, rna-XM_034407014.1, rna-XM_034405178.1, rna-XM_034405180.1, rna-XM_034408404.1				rna-XM_032209677.1
N4.HOG0000069	OG0000004	n364									rna-XM_034411970.1				rna-XM_032209717.1, rna-XM_032209781.1
N4.HOG0000070	OG0000005	n2									rna-XM_034404287.1				
N4.HOG0000071	OG0000005	n7									rna-XM_034434973.1				
N4.HOG0000072	OG0000005	n13									rna-XM_034408321.1				
N4.HOG0000073	OG0000006	n7													rna-XM_032212006.1
N4.HOG0000074	OG0000006	n15									rna-XM_034413135.1				rna-XM_032211346.1
N4.HOG0000075	OG0000006	n28									rna-XM_034413130.1				
N4.HOG0000076	OG0000006	n36									rna-XM_034408392.1				
N4.HOG0000077	OG0000006	n43													rna-XM_032209233.1
N4.HOG0000078	OG0000006	n49													rna-XM_032211163.1
N4.HOG0000079	OG0000006	n66									rna-XM_034406605.1				
N4.HOG0000080	OG0000006	n78									rna-XM_034406450.1				
N4.HOG0000081	OG0000006	n79									rna-XM_034405478.1				
N4.HOG0000082	OG0000006	n90									rna-XM_034405775.1				rna-XM_032238930.1
N4.HOG0000083	OG0000006	n100									rna-XM_034406541.1				rna-XM_032238937.1
N4.HOG0000084	OG0000006	n107													rna-XM_032212013.1
N4.HOG0000085	OG0000006	n118									rna-XM_034413136.1				rna-XM_032208315.1
N4.HOG0000086	OG0000006	n120													rna-XM_032238939.1
N4.HOG0000087	OG0000006	n122													rna-XM_032212011.1
N4.HOG0000088	OG0000006	n127									rna-XM_034430965.1				rna-XM_032211193.1
N4.HOG0000089	OG0000006	n138									rna-XM_034406164.1				
N4.HOG0000090	OG0000006	n145									rna-XM_034405653.1				
N4.HOG0000091	OG0000006	n146									rna-XM_034405216.1				
N4.HOG0000092	OG0000006	n154									rna-XM_034405738.1, rna-XM_034405625.1, rna-XM_034413165.1				rna-XM_032212003.1, rna-XM_032212015.1
N4.HOG0000093	OG0000006	n163									rna-XM_034407828.1				rna-XM_032209280.1
N4.HOG0000094	OG0000006	n171									rna-XM_034430930.1				rna-XM_032238933.1
N4.HOG0000095	OG0000006	n173									rna-XM_034407463.1				rna-XM_032238934.1
N4.HOG0000096	OG0000006	n174									rna-XM_034406166.1				rna-XM_032208345.1, rna-XM_032208343.1, rna-XM_032208346.1
N4.HOG0000097	OG0000006	n178									rna-XM_034407487.1, rna-XM_034406687.1				rna-XM_032212010.1
N4.HOG0000098	OG0000006	n195													rna-XM_032211994.1, rna-XM_032209279.1
N4.HOG0000099	OG0000006	n199									rna-XM_034406019.1				
N4.HOG0000100	OG0000006	n203													rna-XM_032208331.1
N4.HOG0000101	OG0000006	n219									rna-XM_034407074.1				rna-XM_032210405.1, rna-XM_032210220.1
N4.HOG0000102	OG0000006	n222									rna-XM_034405105.1				
N4.HOG0000103	OG0000006	n227													rna-XM_032211987.1
N4.HOG0000104	OG0000006	n233													rna-XM_032211979.1
N4.HOG0000105	OG0000006	n237									rna-XM_034408409.1, rna-XM_034407130.1				rna-XM_032211990.1
N4.HOG0000106	OG0000006	n241									rna-XM_034405193.1				rna-XM_032211984.1
N4.HOG0000107	OG0000006	n244									rna-XM_034407407.1				
N4.HOG0000108	OG0000006	n245									rna-XM_034404899.1				rna-XM_032211989.1
N4.HOG0000109	OG0000006	n255													rna-XM_032238927.1
N4.HOG0000110	OG0000006	n258													rna-XM_032238925.1, rna-XM_032238921.1
N4.HOG0000111	OG0000006	n266													rna-XM_032208308.1
N4.HOG0000112	OG0000006	n279													rna-XM_032212019.1
N4.HOG0000113	OG0000006	n283													rna-XM_032210386.1
N4.HOG0000114	OG0000006	n292													rna-XM_032212000.1, rna-XM_032210219.1
N4.HOG0000115	OG0000006	n295													rna-XM_032211992.1
N4.HOG0000116	OG0000006	n299									rna-XM_034408289.1, rna-XM_034404890.1				rna-XM_032208335.1
N4.HOG0000117	OG0000006	n301													rna-XM_032211993.1, rna-XM_032211999.1
