chrom	length	bases	mean	min	max
scaffold_1	434526931	13851920433	31.88	0	157
scaffold_2	381225800	11834219217	31.04	0	248
scaffold_3	268276564	8317791047	31.00	0	188
scaffold_4	218045602	6709136850	30.77	0	320
scaffold_5	171188827	2785700934	16.27	0	72
scaffold_6	142905876	4353835511	30.47	0	88
scaffold_7	106938139	3142658599	29.39	0	127
scaffold_8	42362139	1032922676	24.38	0	64
scaffold_9	34083018	823775567	24.17	0	67
scaffold_10	30848814	880562163	28.54	0	86
scaffold_11	28798323	721202592	25.04	0	66
scaffold_12	28504944	751522217	26.36	0	58
scaffold_13	23795472	528514998	22.21	0	76
scaffold_14	19560250	535535766	27.38	0	64
scaffold_15	16934482	374271791	22.10	0	88
scaffold_16	16659334	390166043	23.42	0	144
scaffold_17	8602431	119913976	13.94	0	60
scaffold_18	5896640	109392957	18.55	0	58
scaffold_19	3578573	88509897	24.73	0	65
scaffold_20	3463715	47521522	13.72	0	49
scaffold_21	2653684	61617621	23.22	1	93
scaffold_22	2594236	37439202	14.43	0	60
scaffold_23	2401630	35564458	14.81	0	54
scaffold_24	2227603	28023815	12.58	0	30
scaffold_25	2202738	33866899	15.37	0	64
scaffold_26	2177833	31621828	14.52	0	47
scaffold_27	2141302	23661521	11.05	0	88
scaffold_28	2117275	27152708	12.82	0	38
scaffold_29	1993315	53285494	26.73	0	67
scaffold_30	1963441	42502906	21.65	0	73
scaffold_31	1903766	37897116	19.91	0	51
scaffold_32	1891392	59873320	31.66	0	65
scaffold_33	1859776	20086240	10.80	0	61
scaffold_34	1787999	16914223	9.46	0	38
scaffold_35	1751308	19676100	11.24	0	54
scaffold_36	1660000	26183461	15.77	0	60
scaffold_37	1534483	26118717	17.02	0	62
scaffold_38	1527826	22425897	14.68	0	41
scaffold_39	1505925	22451765	14.91	1	29
scaffold_40	1478730	27718032	18.74	0	89
scaffold_41	1436034	21991788	15.31	1	35
scaffold_42	1377455	17482180	12.69	0	41
scaffold_43	1343551	19618597	14.60	1	31
scaffold_44	1304300	38103146	29.21	0	104
scaffold_45	1257125	29071206	23.13	0	61
scaffold_46	1222163	22898820	18.74	0	99
scaffold_47	1141902	16349466	14.32	0	98
scaffold_48	1095069	22982098	20.99	0	68
scaffold_49	1086189	14986583	13.80	0	28
scaffold_50	1081135	17260503	15.97	0	50
scaffold_51	998428	12746115	12.77	0	27
scaffold_52	990424	18257311	18.43	0	47
scaffold_53	984522	8969979	9.11	0	33
scaffold_54	970918	11652423	12.00	0	52
scaffold_55	940026	13499140	14.36	1	30
scaffold_56	934443	4457462	4.77	0	59
scaffold_57	930907	36382261	39.08	1	71
scaffold_58	922701	16916998	18.33	0	47
scaffold_59	917863	5341118	5.82	0	54
scaffold_60	912060	10288659	11.28	0	75
scaffold_61	904647	9281812	10.26	1	24
scaffold_62	884248	12937135	14.63	2	31
scaffold_63	867928	9522645	10.97	0	59
scaffold_64	841645	12812158	15.22	0	66
scaffold_65	832083	9934881	11.94	0	50
scaffold_66	826999	10212850	12.35	0	35
scaffold_67	823448	21788429	26.46	1	47
scaffold_68	810612	13361233	16.48	0	58
scaffold_69	793079	21729390	27.40	0	95
