chrom	length	bases	mean	min	max
scaffold_1	433818416	13923796303	32.10	0	288
scaffold_2	374159211	11851533936	31.68	0	462
scaffold_3	264040294	8399475816	31.81	0	141
scaffold_4	215888951	6732493724	31.18	0	140
scaffold_5	141679618	4423090381	31.22	0	379
scaffold_6	106276195	3117110810	29.33	0	205
scaffold_7	37725804	1012943194	26.85	0	177
scaffold_8	30242353	890825636	29.46	0	104
scaffold_9	27315184	745652905	27.30	0	214
scaffold_10	26902418	735712046	27.35	0	116
scaffold_11	24738797	664142540	26.85	0	88
scaffold_12	21645520	585867051	27.07	0	114
scaffold_13	16465782	422633044	25.67	0	88
scaffold_14	11408651	283746015	24.87	0	80
scaffold_15	7290566	167767341	23.01	0	59
scaffold_16	6691905	166974399	24.95	0	137
scaffold_17	2900203	52669745	18.16	0	77
scaffold_18	2362523	73819974	31.25	0	68
scaffold_19	2349300	31602383	13.45	0	33
scaffold_20	2238310	69710860	31.14	0	137
scaffold_21	2202870	45155107	20.50	1	66
scaffold_22	1848028	27375071	14.81	0	59
scaffold_23	1648134	53315561	32.35	1	119
scaffold_24	1409816	35502142	25.18	0	119
scaffold_25	1404857	34070651	24.25	0	94
scaffold_26	1400523	23070022	16.47	0	57
scaffold_27	1379174	36099431	26.17	0	56
scaffold_28	1257518	15191357	12.08	0	61
scaffold_29	1222657	43403735	35.50	0	74
scaffold_30	1222161	19731061	16.14	0	51
scaffold_31	1210146	42879012	35.43	1	112
scaffold_32	1154867	23713000	20.53	0	109
scaffold_33	1107362	32092250	28.98	0	77
scaffold_34	1049480	23274356	22.18	1	76
scaffold_35	1034505	31221641	30.18	0	325
scaffold_36	1031907	26640590	25.82	0	86
scaffold_37	1019793	38523067	37.78	0	174
scaffold_38	1017014	33588422	33.03	2	69
scaffold_39	1007575	18645860	18.51	0	84
scaffold_40	1000797	27666119	27.64	0	152
scaffold_41	953726	15347779	16.09	0	63
scaffold_42	897075	28013209	31.23	0	119
scaffold_43	883926	10739530	12.15	0	52
scaffold_44	845297	37611729	44.50	0	83
scaffold_45	834199	12786386	15.33	0	59
scaffold_46	831916	23142229	27.82	0	67
scaffold_47	790616	21756077	27.52	0	91
scaffold_48	787744	18791489	23.85	0	57
scaffold_49	745726	32580440	43.69	0	132
scaffold_50	731302	10610995	14.51	1	53
scaffold_51	650559	16818656	25.85	0	48
scaffold_52	612115	460094	0.75	0	17
scaffold_53	608029	12864134	21.16	1	48
scaffold_54	606537	19907553	32.82	2	73
scaffold_55	581113	10583982	18.21	0	68
scaffold_56	568071	24801345	43.66	0	104
scaffold_57	531746	15718191	29.56	1	109
scaffold_58	523253	7974042	15.24	0	66
scaffold_59	503251	11428349	22.71	0	67
scaffold_60	500251	9357128	18.70	0	97
scaffold_61	499141	11589357	23.22	0	132
scaffold_62	498180	12526590	25.14	0	149
scaffold_63	494403	8516320	17.23	0	47
scaffold_64	489688	15481959	31.62	0	55
scaffold_65	479963	12121220	25.25	0	71
scaffold_66	479169	1135723	2.37	0	16
scaffold_67	478721	9689826	20.24	0	56
scaffold_68	476997	7743238	16.23	0	56
scaffold_69	476687	6542433	13.72	0	68
scaffold_70	470128	12428932	26.44	0	70
scaffold_71	466626	8103820	17.37	0	102
scaffold_72	454818	7690074	16.91	0	69
scaffold_73	451592	7336627	16.25	0	50
scaffold_74	449051	604991	1.35	0	19
scaffold_75	448426	11654890	25.99	0	77
scaffold_76	439809	5065177	11.52	0	27
scaffold_77	433034	9355214	21.60	0	84
scaffold_78	423230	6808021	16.09	0	67
scaffold_79	421539	15177088	36.00	0	155
scaffold_80	412472	4847330	11.75	0	59
scaffold_81	409760	11457293	27.96	0	55
scaffold_82	404428	17883894	44.22	2	68
scaffold_83	402298	10009862	24.88	0	81
scaffold_84	400748	3054078	7.62	0	62
scaffold_85	392931	724413	1.84	0	15
scaffold_86	379820	2375649	6.25	0	24
scaffold_87	374446	5977641	15.96	0	73
scaffold_88	369562	8033066	21.74	1	79
scaffold_89	369281	5561633	15.06	2	70
scaffold_90	368519	4464623	12.12	0	31
scaffold_91	367633	8076879	21.97	1	99
scaffold_92	367367	12838832	34.95	0	128
scaffold_93	364891	7911819	21.68	0	46
scaffold_94	362330	7959707	21.97	1	40
scaffold_95	360548	7187769	19.94	0	93
scaffold_96	359601	5940317	16.52	0	61
scaffold_97	359495	3598529	10.01	0	52
scaffold_98	353152	7201752	20.39	0	1141
scaffold_99	341590	8234954	24.11	2	46
scaffold_100	340558	3424813	10.06	1	20
scaffold_101	338114	6741816	19.94	0	102
scaffold_102	335191	2649794	7.91	0	20
scaffold_103	333077	9370384	28.13	0	67
scaffold_104	332053	2824487	8.51	0	57
scaffold_105	326937	2968748	9.08	1	21
scaffold_106	325617	2039636	6.26	0	90
scaffold_107	323560	14622946	45.19	3	136
scaffold_108	320705	4290744	13.38	0	59
scaffold_109	318135	6884506	21.64	1	45
scaffold_110	314821	5151598	16.36	1	97
scaffold_111	312688	8260200	26.42	1	107
scaffold_112	309938	7243527	23.37	0	69
scaffold_113	307709	8170004	26.55	4	75
scaffold_114	305288	3587045	11.75	0	57
scaffold_115	304878	1111816	3.65	0	31
scaffold_116	304505	9398887	30.87	0	90
scaffold_117	298976	6704161	22.42	0	51
scaffold_118	296131	2156456	7.28	0	26
scaffold_119	295038	1831867	6.21	0	25
scaffold_120	293818	9434136	32.11	0	109
scaffold_121	292917	8151081	27.83	4	50
scaffold_122	292505	5888896	20.13	0	63
scaffold_123	289688	5094500	17.59	3	45
scaffold_124	286676	1975067	6.89	0	50
scaffold_125	285894	2208515	7.72	0	22
scaffold_126	283160	9086425	32.09	6	73
scaffold_127	283050	3885792	13.73	0	53
scaffold_128	279807	11166965	39.91	2	89
scaffold_129	277997	0	0.00	0	0
scaffold_130	277259	8136921	29.35	0	55
scaffold_131	276256	730933	2.65	0	37
scaffold_132	271806	5339851	19.65	0	64
scaffold_133	264729	4987339	18.84	0	43
scaffold_134	262835	6034292	22.96	0	57
scaffold_135	259951	6092356	23.44	0	51
scaffold_136	249704	2718482	10.89	0	48
scaffold_137	244692	4741814	19.38	1	53
scaffold_138	239703	5398751	22.52	0	47
scaffold_139	236976	7490259	31.61	0	65
scaffold_140	234590	3333470	14.21	0	40
scaffold_141	229634	1851665	8.06	1	23
scaffold_142	228602	4481158	19.60	0	47
scaffold_143	228390	73355	0.32	0	3
scaffold_144	228300	9008538	39.46	0	133
scaffold_145	228172	33337	0.15	0	2
scaffold_146	227336	473823	2.08	0	25
scaffold_147	225051	1154207	5.13	0	26
scaffold_148	224071	247187	1.10	0	15
scaffold_149	223632	7308506	32.68	15	65
scaffold_150	223132	9101518	40.79	0	120
scaffold_151	220925	13817299	62.54	6	131
scaffold_152	220171	2364155	10.74	0	33
scaffold_153	220078	387142	1.76	0	18
scaffold_154	219788	1991171	9.06	0	37
scaffold_155	218661	8811752	40.30	0	97
scaffold_156	217846	4927084	22.62	2	38
scaffold_157	216701	1828991	8.44	1	30
scaffold_158	214684	100819	0.47	0	4
scaffold_159	214050	4127390	19.28	1	47
scaffold_160	213526	4500801	21.08	2	100
scaffold_161	211760	1886450	8.91	1	31
scaffold_162	209362	5414464	25.86	3	107
scaffold_163	208616	2241183	10.74	0	51
scaffold_164	208212	2792347	13.41	0	43
scaffold_165	205720	3677119	17.87	0	62
scaffold_166	205375	1937720	9.44	0	70
scaffold_167	203825	429820	2.11	0	16
scaffold_168	198128	4650066	23.47	0	76
scaffold_169	198029	1028360	5.19	0	57
scaffold_170	196096	8754447	44.64	0	95
scaffold_171	195184	3549621	18.19	1	44
scaffold_172	193363	292999	1.52	0	14
scaffold_173	188650	5484	0.03	0	3
scaffold_174	187838	1035484	5.51	0	21
scaffold_175	186130	3637771	19.54	1	50
scaffold_176	185632	1986179	10.70	1	24
scaffold_177	184614	488287	2.64	0	33
scaffold_178	183745	0	0.00	0	0
scaffold_179	183308	1032293	5.63	0	52
scaffold_180	183041	0	0.00	0	0
scaffold_181	182786	2309647	12.64	1	47
scaffold_182	182661	2095448	11.47	0	36
scaffold_183	182506	3964584	21.72	0	82
scaffold_184	181809	5136791	28.25	11	42
scaffold_185	181025	5299098	29.27	0	67
scaffold_186	179330	1452574	8.10	0	26
scaffold_187	178242	831748	4.67	0	19
scaffold_188	176562	4878349	27.63	1	51
scaffold_189	175725	4853053	27.62	1	47
scaffold_190	175164	0	0.00	0	0
scaffold_191	174442	5446484	31.22	0	94
scaffold_192	170756	3643451	21.34	3	35
scaffold_193	169963	287679	1.69	0	8
scaffold_194	167613	34600	0.21	0	2
scaffold_195	163733	4171856	25.48	5	49
scaffold_196	160022	4899561	30.62	1	71
scaffold_197	160013	824336	5.15	0	20
scaffold_198	157347	1523722	9.68	0	32
scaffold_199	157063	1798149	11.45	0	35
scaffold_200	156898	3089329	19.69	0	49
scaffold_201	154978	3180738	20.52	1	37
scaffold_202	152195	1503331	9.88	2	30
scaffold_203	151449	1084596	7.16	0	15
scaffold_204	149314	3324873	22.27	0	47
scaffold_205	149041	764740	5.13	0	50
scaffold_206	144444	783939	5.43	0	28
scaffold_207	144111	3090616	21.45	0	79
scaffold_208	143910	2372620	16.49	0	55
scaffold_209	143870	311188	2.16	0	15
scaffold_210	143339	1207730	8.43	0	28
scaffold_211	142905	3608287	25.25	6	44
scaffold_212	142643	2642779	18.53	1	34
scaffold_213	140127	3200530	22.84	2	35
scaffold_214	140094	47832	0.34	0	4
scaffold_215	138233	3987579	28.85	1	42
scaffold_216	137976	55923	0.41	0	4
scaffold_217	137712	1345997	9.77	0	33
scaffold_218	136938	1281960	9.36	0	23
scaffold_219	136877	325078	2.37	0	16
scaffold_220	136118	446600	3.28	0	16
scaffold_221	135310	374200	2.77	0	26
scaffold_222	135138	0	0.00	0	0
scaffold_223	134945	1605928	11.90	2	27
scaffold_224	134762	1321207	9.80	1	25
scaffold_225	134167	1765	0.01	0	1
scaffold_226	133653	519630	3.89	1	10
scaffold_227	131809	2752570	20.88	1	36
scaffold_228	131609	926617	7.04	0	16
scaffold_229	131252	3516706	26.79	1	43
scaffold_230	130440	3400316	26.07	2	44
scaffold_231	130039	1596767	12.28	0	50
scaffold_232	129571	2662178	20.55	1	47
scaffold_233	129553	257072	1.98	0	17
scaffold_234	129223	1876087	14.52	1	24
scaffold_235	127787	3453037	27.02	0	112
scaffold_236	127134	5013177	39.43	8	86
scaffold_237	126884	5272449	41.55	2	122
scaffold_238	126055	1120931	8.89	1	17
scaffold_239	124904	292682	2.34	0	15
scaffold_240	124507	457402	3.67	0	17
scaffold_241	124030	64517	0.52	0	5
scaffold_242	123794	252060	2.04	0	17
scaffold_243	123700	804133	6.50	0	23
scaffold_244	123328	287160	2.33	0	10
scaffold_245	122924	1361552	11.08	0	27
scaffold_246	122459	2031578	16.59	1	53
scaffold_247	122445	472782	3.86	0	30
scaffold_248	122394	2513503	20.54	7	35
scaffold_249	121834	1114914	9.15	1	26
scaffold_250	121645	3471858	28.54	0	44
scaffold_251	120435	2348313	19.50	1	32
scaffold_252	120217	17570	0.15	0	2
scaffold_253	120199	128420	1.07	0	9
scaffold_254	120058	748143	6.23	0	39
scaffold_255	118989	734052	6.17	0	34
scaffold_256	118916	5897751	49.60	2	77
scaffold_257	117412	4392444	37.41	3	112
scaffold_258	117326	437953	3.73	0	21
scaffold_259	116398	1031360	8.86	0	41
scaffold_260	116169	2103612	18.11	2	37
scaffold_261	116113	1627223	14.01	3	31
scaffold_262	115569	923301	7.99	1	20
