TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000313"	"organellar ribosome"	1	4.386588133907789	0.09329668990975266	0.7380394072094648	0.3960347	null
"GO:0000785"	"chromatin"	5	5.268704310735425	0.7112100834284024	0.6692722046298825	0.48620406	null
"GO:0000123"	"histone acetyltransferase complex"	1	4.635000929108816	0.16530530780552424	0.6221893169690708	0.79075315	785
"GO:0000775"	"chromosome, centromeric region"	2	4.835310000869063	0.2621800180969682	0.6870866266398198	0.71637517	785
"GO:0000776"	"kinetochore"	2	4.682749597860649	0.1845170553581813	0.6593209882403667	0.90561832	785
"GO:0000779"	"condensed chromosome, centromeric region"	2	4.690018780788695	0.18763154205016738	0.6941771947739385	0.94297525	785
"GO:0000781"	"chromosome, telomeric region"	1	4.511616020569138	0.12442240254491488	0.7036340516261218	0.87736978	785
"GO:0000786"	"nucleosome"	2	4.8042621355754935	0.24409071162764684	0.6385029281015395	0.71170287	785
"GO:0000791"	"euchromatin"	1	3.4443571256560275	0.010653613149339828	0.7480522766834627	0.55355342	785
"GO:0000793"	"condensed chromosome"	2	4.850149790008253	0.27129362675654367	0.6935281016171433	0.71863011	785
"GO:0031248"	"protein acetyltransferase complex"	1	4.700565274529278	0.19224389380558096	0.85012019116577	0.98606354	785
"GO:0035267"	"NuA4 histone acetyltransferase complex"	1	4.044774874256443	0.04246504917671053	0.6534565081934859	0.88107446	785
"GO:0043189"	"H4/H2A histone acetyltransferase complex"	1	4.108565023732835	0.049184372248965866	0.6501887041191354	0.9668933	785
"GO:0098687"	"chromosomal region"	3	5.00059457624841	0.38360669051502805	0.6852331992977344	0.74231825	785
"GO:1902562"	"H4 histone acetyltransferase complex"	1	4.185343801582189	0.05869639003027143	0.6473630643843526	0.90167301	785
"GO:0005576"	"extracellular region"	7	5.89316121084146	2.9954121657290007	0.9999006163547065	6.918E-05	null
"GO:0005615"	"extracellular space"	6	5.24462342843235	0.6728478820341237	0.9731275453081567	5.719E-05	null
"GO:0005798"	"Golgi-associated vesicle"	1	4.539715772518249	0.1327391929610302	0.7604492177144274	0.77637928	5615
"GO:0031410"	"cytoplasmic vesicle"	1	5.549315988650155	1.3570963943208312	0.7104724214214521	0.65726227	5615
"GO:0043230"	"extracellular organelle"	4	3.777644277696485	0.022954494782755935	0.8304409896072282	0.50863956	5615
"GO:0065010"	"extracellular membrane-bounded organelle"	4	3.776192514747072	0.022877877643961687	0.7923678325215757	0.99771462	5615
"GO:0070062"	"extracellular exosome"	4	3.7298934039632377	0.020564040052375474	0.780945039749801	0.50449339	5615
"GO:0097708"	"intracellular vesicle"	1	5.549626040130236	1.3580656011265784	0.7179146591075034	0.9775472	5615
"GO:1903561"	"extracellular vesicle"	4	3.7641013764762286	0.022249617105848874	0.77985824752857	0.99181611	5615
"GO:0005622"	"intracellular anatomical structure"	24	7.022054131074041	40.30417387187009	0.9998536227911593	0.00012419	null
"GO:0005681"	"spliceosomal complex"	2	4.995174334799384	0.3788487661959054	0.6691424917328791	0.37337264	null
"GO:0000346"	"transcription export complex"	1	3.454387467146955	0.010902618850421125	0.7549197850904013	0.50700372	5681
"GO:0015935"	"small ribosomal subunit"	1	5.004360071566798	0.3869471977664572	0.6369986372994089	0.62796718	5681
"GO:0030684"	"preribosome"	1	4.645176558178802	0.16922427445484992	0.8745641669667059	0.50053455	5681
"GO:0044391"	"ribosomal subunit"	1	5.37390459247497	0.9061470696626011	0.6153375423105629	0.58223933	5681
"GO:0071013"	"catalytic step 2 spliceosome"	2	4.006466042249231	0.03887936708113985	0.7034887001430814	0.55500963	5681
"GO:0005694"	"chromosome"	8	5.690278499527354	1.8774723392974666	0.6747877386339223	0.25282697	null
"GO:0001725"	"stress fiber"	2	3.362670929725667	0.008826294389097074	0.7507634570575376	0.52823551	5694
"GO:0005819"	"spindle"	3	4.835455925694344	0.26226812780658154	0.6961196532788273	0.70096591	5694
"GO:0005840"	"ribosome"	1	5.9664350758652835	3.5459331239642324	0.6543498230246059	0.61399432	5694
"GO:0005856"	"cytoskeleton"	6	5.798928118601961	2.411145188711844	0.6670484009871264	0.56329201	5694
"GO:0015629"	"actin cytoskeleton"	2	5.064210820320425	0.4441227375916628	0.6857933973835689	0.73846796	5694
"GO:0015630"	"microtubule cytoskeleton"	4	5.493405068019236	1.1931625332997238	0.6591237217901508	0.51613805	5694
"GO:0032156"	"septin cytoskeleton"	2	3.803730170974544	0.024375742707389188	0.7443306860618164	0.57032949	5694
"GO:0032432"	"actin filament bundle"	2	3.464638559095033	0.011163117122321561	0.7510610738620289	0.58812744	5694
"GO:0042641"	"actomyosin"	2	3.4046627008737222	0.009722714912989747	0.7531121178485453	0.58069006	5694
"GO:0043232"	"intracellular non-membrane-bounded organelle"	17	6.379604434315184	9.181215622847537	0.6220354775397415	0.7414073	5694
"GO:0072686"	"mitotic spindle"	1	4.150971232062612	0.05422961083856692	0.7283980318600667	0.60849884	5694
"GO:0097517"	"contractile actin filament bundle"	2	3.362670929725667	0.008826294389097074	0.7507634570575376	0.97473047	5694
"GO:0005732"	"sno(s)RNA-containing ribonucleoprotein complex"	1	4.287667391274135	0.0742918086318401	0.8816282519762407	0.46829439	null
"GO:0005737"	"cytoplasm"	19	6.812787793980809	24.89336809708311	0.8356678097484429	0.21664356	null
"GO:0005739"	"mitochondrion"	3	5.850670123785282	2.7162231428197097	0.7117184095650206	0.37244178	null
"GO:0005794"	"Golgi apparatus"	3	5.643351000194893	1.6851786443516696	0.6855709087344606	0.34747316	null
"GO:0000139"	"Golgi membrane"	1	5.312082105977306	0.7859156246097315	0.6576878169665455	0.72841485	5794
"GO:0005783"	"endoplasmic reticulum"	1	5.741821833865314	2.114058402180217	0.6787915879359673	0.73480181	5794
"GO:0005789"	"endoplasmic reticulum membrane"	1	5.587068587217902	1.4803465546421941	0.6419003277809124	0.77253459	5794
"GO:0005795"	"Golgi stack"	1	4.502085559226046	0.12172164840241773	0.7385770173217587	0.62299794	5794
"GO:0042175"	"nuclear outer membrane-endoplasmic reticulum membrane network"	1	5.593032285139817	1.5008148232710767	0.9159207325707099	0.70440697	5794
"GO:0098791"	"Golgi apparatus subcompartment"	1	4.734311673881031	0.20777801869611418	0.7278502430006563	0.56865137	5794
"GO:0098827"	"endoplasmic reticulum subcompartment"	1	5.5879398351264244	1.483319299627411	0.681132587499279	0.95279433	5794
"GO:0005801"	"cis-Golgi network"	1	3.8900855267163252	0.029738942422986366	0.7665325147267829	0.4780674	null
"GO:0005829"	"cytosol"	11	5.640355204898737	1.6735941329659796	0.8394740864820432	0.14076232	null
"GO:0005886"	"plasma membrane"	3	6.570230415623515	14.240532611702042	0.9361063002722468	0.48400319	null
"GO:0005938"	"cell cortex"	2	4.801787750135018	0.242703941415471	0.8324976164281053	0.284461	null
