# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0003682"	"chromatin binding"	0.167564558880372	2	0.9535940567692793	0.04106292	null
"GO:0003824"	"catalytic activity"	62.911524512916806	8	1	-0	null
"GO:0005198"	"structural molecule activity"	3.1283830918306608	4	1	-0	null
"GO:0005200"	"structural constituent of cytoskeleton"	0.12482098119041957	1	0.990813275718704	0.0083369	null
"GO:0005488"	"binding"	56.54086933524549	26	1	-0	null
"GO:0005515"	"protein binding"	5.069467063710899	20	0.9310135707677684	0.07243535	null
"GO:0036094"	"small molecule binding"	21.596796922287407	6	0.9114569149125651	0.20184516	"protein binding"
"GO:0043167"	"ion binding"	34.834301371097595	9	0.9018790075982844	0.25064445	"protein binding"
"GO:0097159"	"organic cyclic compound binding"	39.78015604249595	12	0.8988170229100189	0.26868474	"protein binding"
"GO:0097367"	"carbohydrate derivative binding"	16.65150006114038	5	0.9158513055577225	0.18251555	"protein binding"
"GO:1901363"	"heterocyclic compound binding"	39.7408987788768	12	0.8988404749424099	0.12692666	"protein binding"
"GO:0005543"	"phospholipid binding"	0.41142334144965476	1	0.9396163633589268	0.04738744	null
"GO:0008186"	"ATP-dependent activity, acting on RNA"	0.3352603672316446	1	0.9803252848917734	-0	null
"GO:0008289"	"lipid binding"	0.8552024118402772	1	0.9451452873826764	0.05586886	null
"GO:0016491"	"oxidoreductase activity"	11.718748461920264	1	0.9718188489795565	0.0932198	null
"GO:0016757"	"glycosyltransferase activity"	2.398966891664718	1	0.907572843570305	0.05056076	null
"GO:0008168"	"methyltransferase activity"	2.7115211004305637	1	0.8628598252846152	0.34049712	"glycosyltransferase activity"
"GO:0008455"	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"	0.0037214693728265906	1	0.9165383712458824	0.48934504	"glycosyltransferase activity"
"GO:0016741"	"transferase activity, transferring one-carbon groups"	2.9508681824376395	1	0.9053870273252113	0.34457955	"glycosyltransferase activity"
