file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,siteClassModel,proportion_0,background_0,foreground_0,proportion_1,background_1,foreground_1,proportion_2,background_2,foreground_2,proportion_3,background_3,foreground_3
OG0007017,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.5893,-3389.104694,29,3.59904,PositiveSelection,0.77223,0.0198,0.0198,0.22415,1.0,1.0,0.00281,0.0198,71.34572,0.00081,1.0,71.34572
OG0007017,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.57816,-3390.350615,28,3.51104,PositiveSelection,0.73833,0.01903,0.01903,0.21343,1.0,1.0,0.03743,0.01903,1.0,0.01082,1.0,1.0
OG0008345,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.21449,-2689.713488,29,3.91724,PositiveSelection,0.85369,0.08486,0.08486,0.14167,1.0,1.0,0.00398,0.08486,1.0,0.00066,1.0,1.0
OG0008345,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.21449,-2689.713488,28,3.91723,PositiveSelection,0.85369,0.08486,0.08486,0.14167,1.0,1.0,0.00399,0.08486,1.0,0.00066,1.0,1.0
OG0005398,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,12.48091,-4692.439498,29,2.69937,PositiveSelection,0.45714,0.0904,0.0904,0.02995,1.0,1.0,0.48137,0.0904,37.81941,0.03154,1.0,37.81941
OG0005398,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,3.31846,-4744.552738,28,2.0149,PositiveSelection,0.42642,0.06889,0.06889,0.02292,1.0,1.0,0.52257,0.06889,1.0,0.02809,1.0,1.0
OG0009960,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.72013,-2004.08473,29,3.50147,PositiveSelection,0.73732,0.10764,0.10764,0.1254,1.0,1.0,0.11732,0.10764,1.0,0.01995,1.0,1.0
OG0009960,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.72013,-2004.08473,28,3.50147,PositiveSelection,0.73732,0.10764,0.10764,0.1254,1.0,1.0,0.11732,0.10764,1.0,0.01995,1.0,1.0
OG0005488,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.53843,-3546.552365,29,3.09287,PositiveSelection,0.7668,0.08047,0.08047,0.10827,1.0,1.0,0.10947,0.08047,1.0,0.01546,1.0,1.0
OG0005488,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.53844,-3546.552351,28,3.09064,PositiveSelection,0.76711,0.08047,0.08047,0.1083,1.0,1.0,0.10917,0.08047,1.0,0.01541,1.0,1.0
OG0011994,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.28662,-1433.799145,29,2.63575,PositiveSelection,0.85596,0.05165,0.05165,0.07026,1.0,1.0,0.06818,0.05165,20.61996,0.0056,1.0,20.61996
OG0011994,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.18903,-1442.883709,28,2.42831,PositiveSelection,0.75177,0.04074,0.04074,0.07887,1.0,1.0,0.15328,0.04074,1.0,0.01608,1.0,1.0
