GO Term,genes,Term,Definition,ontology,Terminal node
GO:0004549,RPP21; POP4; ELAC2; TRMT10C; RPP14; POP1; POP5,tRNA-specific ribonuclease activity,Catalysis of the hydrolysis of phosphodiester bonds in tRNA molecules.,MF,FALSE
GO:0000182,DHX37; TSPYL2; SMARCAL1; HELLS; DHX33; GTF3C3,rDNA binding,Binding to a DNA sequence encoding a ribosomal RNA.,MF,FALSE
GO:0016891,SLC4A1AP; NPHS2; RPP21; POP4; ELAC2; TRMT10C; NUDT16; ELAC1; RPP14; ORAI2; EDC3; POP1; POP5,"endoribonuclease activity, producing 5'-phosphomonoesters",Catalysis of the hydrolysis of ester linkages within ribonucleic acids by creating internal breaks to yield 5'-phosphomonoesters.,MF,FALSE
GO:0003899,BIRC2; XIAP; PRIM1; COQ2; TTC21A; RPAP1; TPI1; TSPYL2; SSX2IP; POLR3F; PRUNE2; POLR1E; LRRN1; MED20; POLR3GL,DNA-directed 5'-3' RNA polymerase activity,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",MF,FALSE
GO:0001046,KLF11; BAZ2A; APLP2; SOX17; DNMT3A; BAZ1B; PIH1D1; POU1F1; POU6F2; DR1; TBPL1; JMJD1C; HELLS,core promoter sequence-specific DNA binding,"Binding to a sequence of DNA that is part of a core promoter region. The core promoter is composed of the transcription start site and binding sites for the RNA polymerase and the basal transcription machinery. The transcribed region might be described as a gene, cistron, or operon.",MF,FALSE
GO:0005172,ANGPTL6; ITGB2; ARHGEF7; SKAP2; PSTPIP1; SH3D19; ARHGEF6; SORBS2; ITGA8; CCDC88C,vascular endothelial growth factor receptor binding,Binding to a vascular endothelial growth factor receptor.,MF,FALSE
GO:0070530,RNF168; PARP9; IKBKG; ZRANB1; ZBTB25; TAB2; MIB1; ZRANB3; SMARCAL1; TAB3; MINDY2,K63-linked polyubiquitin modification-dependent protein binding,Binding to a protein upon poly-ubiquitination formed by linkages between lysine residues at position 63 in the target protein.,MF,TRUE
GO:0000049,NAT10; TYW5; SSB; CTU1; MATR3; UPF1; PSTK; HPGD; CARS2; TRMT10C; DNA2; ELP1; EIF2A; TRMT1L; XPO5; YARS1 YARS; EIF2S1; EIF2S2,tRNA binding,Binding to a transfer RNA.,MF,FALSE
GO:0005092,RGS10; SESN1; RANBP1; CCDC88C; EIF5; SESN3; ARHGDIA,GDP-dissociation inhibitor activity,"Prevents the dissociation of GDP from a GTPase, thereby preventing GTP from binding.",MF,FALSE
GO:0004312,HPGD; TECR; OXSM; HSD17B4; ELOVL4; HMGCS1; DCXR,fatty acid synthase activity,Catalysis of the reaction: acetyl-CoA + n malonyl-CoA + 2n NADPH + 2n H+ = long-chain fatty acid + n+1 CoA + n CO2 + 2n NADP+.,MF,FALSE
GO:0003729,SLC4A1AP; UPF3B; DHX37; DDX42; CPEB4; DCP1B; SSB; STRAP; TENT4A; METTL14; MATR3; UPF1; RAVER1; NOP58; GRSF1; DNA2; HNRNPH3; NUDT16; RC3H1; PSPC1; DCP2; PDCD11; EIF2A; ZADH2; CPEB1; RBM6; EHHADH; DDX1; AQR; EDC3; IREB2; DHX29; XPO5; PCBP2; G3BP1; RBMX; PABPC1; VAT1; DCAKD; UTP23; RBM10; CEBPZ; RBM47; ACO2; RPL7; RPS8; HNRNPH1; THRAP3; YARS1 YARS; TARDBP; ALYREF; RRP12; EIF3D; METAP1D; EIF2S1; TAF15; DHX33; SYNCRIP; DDX56; EIF2S2,mRNA binding,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.",MF,FALSE
GO:0061629,SMARCE1; LPXN; PARP9; RAN; COMMD6; TADA3; AIP; ETV2; PTGES3; PITX2; PTTG1IP; BAZ2A; SPRYD4; HAND2; DLL4; RCOR1; YES1; PTPN6; NCOA4; ASAH1; SMAD4; NCOA3; HNF4A; STRN3; LATS1; RCOR3; ASXL3; HDAC4; PPARA; LHX8; PTPN1; RXRG; SRA1; ASXL2; DNMT3A; BAZ1B; NFATC1; PTPRF; IPO13; DMAP1; BACH1; RAD23B; TOX2; POU1F1; SRF; JUN; NPAS2; ANXA3; MRTFB MKL2; THRAP3; PRKCZ; PROX1; ANKRD2; MMS19; TBPL1; USP7; JMJD1C; HELLS; TAF15; LIMD1; NCOA6,RNA polymerase II-specific DNA-binding transcription factor binding,"Binding to a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription.",MF,FALSE
GO:0004520,TEFM; UPF1; DNA2; TATDN3; ZRANB3; AQR; SMARCAL1; APEX2,endodeoxyribonuclease activity,Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acid by creating internal breaks.,MF,FALSE
GO:0005004,EPHA4; MUSK; EPHA1; NTRK2; AATK,GPI-linked ephrin receptor activity,Combining with a GPI-anchored ephrin to initiate a change in cell activity.,MF,TRUE
GO:0046966,RCOR1; NCOA3; HNF4A; RCOR3; RXRG; THRAP3; JMJD1C; TAF15; LIMD1; NCOA6,nuclear thyroid hormone receptor binding,Binding to a nuclear thyroid hormone receptor.,MF,TRUE
