orthogroup,symbol,lrt,pval,adj_pval,k,signif,grouping
OG0005310,SESN1,196.8970655883404,0,0,8.062265368153748,Significant,Intensification
OG0005314,FIG4,119.9330302196304,0,0,6.268405095183897,Significant,Intensification
OG0005391,EEF1AKMT1,130.379271221248,0,0,10.76608086739386,Significant,Intensification
OG0005403,STON2,132.5808316181865,0,0,5.560224171695082,Significant,Intensification
OG0005444,ABCD4,89.34032197650231,0,0,5.718594514210493,Significant,Intensification
OG0005521,RAD51B,147.4859678148614,0,0,5.652753031856864,Significant,Intensification
OG0005530,EIF2S1,82.69776075569234,0,0,16.78835001391113,Significant,Intensification
OG0005540,SNRNP40,72.99180928560781,0,0,29.26683693183725,Significant,Intensification
OG0005555,KANSL3,112.9745992446151,0,0,6.573937824737198,Significant,Intensification
OG0005642,PRELID2,138.0638355917818,0,0,11.64172258271683,Significant,Intensification
OG0005656,CPEB4,78.58859374362419,0,0,8.013126172010159,Significant,Intensification
OG0005696,FAM126B,290.6710341286471,0,0,7.388449683607279,Significant,Intensification
OG0005740,TMEM116,102.2499855314873,0,0,8.79067100306148,Significant,Intensification
OG0005751,USP30,107.2002956725391,0,0,5.31082795471272,Significant,Intensification
OG0005812,TTC30B,89.15414831025737,0,0,9.144067918199813,Significant,Intensification
OG0005875,JMY,184.2830891841131,0,0,22.88222341091758,Significant,Intensification
OG0005909,ATG14,117.457864286921,0,0,11.64956767300506,Significant,Intensification
OG0005924,FAM217A,111.6875571505789,0,0,3.445844392008178,Significant,Intensification
OG0005973,ENGASE,93.69269783700838,0,0,5.091995960935081,Significant,Intensification
OG0005984,BAIAP2,81.17012896051983,0,0,6.822862496227149,Significant,Intensification
OG0006006,EFHD1,110.7288672571158,0,0,5.419432982208987,Significant,Intensification
OG0006007,GIGYF2,184.9141659090128,0,0,4.768841887505579,Significant,Intensification
OG0006111,NLRX1,77.29927676946318,0,0,3.446742150916415,Significant,Intensification
OG0006113,CCDC153,70.65987479865726,0,0,10.44770979000479,Significant,Intensification
OG0006117,NECTIN1,259.7985558946566,0,0,9.319616485169291,Significant,Intensification
OG0006201,LATS1,83.90372700900116,0,0,6.140890772456838,Significant,Intensification
OG0006245,MCM7,130.5075584087426,0,0,7.908951514231645,Significant,Intensification
OG0006270,YEATS2,307.9091154052076,0,0,8.028959061912545,Significant,Intensification
OG0006333,DET1,83.86456234503748,0,0,15.02900562036535,Significant,Intensification
OG0006337,PLIN1,85.0545847158337,0,0,6.306461801961895,Significant,Intensification
OG0006442,GGT1,112.3591484285353,0,0,5.017487429743497,Significant,Intensification
OG0006459,TMEM231,89.46159402867215,0,0,9.687564205321609,Significant,Intensification
OG0006476,COL1A2,237.8104087585307,0,0,3.600263838676878,Significant,Intensification
OG0006479,OPA1,109.2183429616525,0,0,3.963935383379391,Significant,Intensification
OG0006487,DLG1,160.9517425061258,0,0,4.412855365595826,Significant,Intensification
OG0006497,MYOT,89.58064787699368,0,0,3.995200942000327,Significant,Intensification
OG0006522,CCM2,481.3631055807382,0,0,1.478629858579647e-7,Significant,Relaxation
OG0006525,SCAP,105.6082193554066,0,0,1.670530712601133e-5,Significant,Relaxation
OG0006543,MRPL51,177.9968723477323,0,0,10.92995787390889,Significant,Intensification
OG0006562,LRRC23,73.51540153745827,0,0,5.522281023124507,Significant,Intensification
OG0006600,BCAS1,132.6384403750235,0,0,11.3433010678576,Significant,Intensification
OG0006604,,107.2281537866802,0,0,8.17637410108247,Significant,Intensification
OG0006608,CA5A,255.8072605566103,0,0,11.29313137751976,Significant,Intensification
OG0006611,JPH3,70.28780916626783,0,0,4.47190008011378,Significant,Intensification
OG0006656,TSPYL2,165.7755346466147,0,0,13.18419423459799,Significant,Intensification
OG0006659,CACNA1F,211.6008738921082,0,0,3.614773203776831,Significant,Intensification
OG0006662,HDAC4,120.1508822035375,0,0,5.063980191791523,Significant,Intensification
OG0006755,CAPN15,170.5295274976161,0,0,11.41934499958416,Significant,Intensification
OG0006764,RIC3,141.4226706038671,0,0,8.461441981968793,Significant,Intensification
OG0006789,HCRTR2,396.4628011837376,0,0,17.76800765475798,Significant,Intensification
OG0006802,IRF2BP1,138.1590397636955,0,0,3.404159375419526e-7,Significant,Relaxation
OG0006804,SYMPK,74.4830129105867,0,0,49.99999999999989,Significant,Intensification
OG0006831,SHB,206.1922479996483,0,0,10.08970275495567,Significant,Intensification
OG0007021,E2F2,227.9083004680269,0,0,49.99999999999989,Significant,Intensification
OG0007035,LAMTOR1,94.94171467536216,0,0,10.17086214305719,Significant,Intensification
OG0007102,MYO1E,144.6298191374335,0,0,6.774363886716701,Significant,Intensification
OG0007157,DOHH,72.72860812260024,0,0,7.295267654103661,Significant,Intensification
OG0007174,IMP4,91.8875952596245,0,0,10.94321671881952,Significant,Intensification
OG0007204,MEOX2,76.47615135177148,0,0,19.44231430904873,Significant,Intensification
OG0007233,COL18A1,114.4091822639348,0,0,4.061164461671907,Significant,Intensification
