orthogroup,symbol,null_x,alt_x,lrt_x,pval_x,null_y,alt_y,lrt_y,pval_y,pval_x_adj,pval_y_adj,signal
OG0007017,PHACTR4,bsA1,bsA,11.45614999999998,7.125777747625e-4,M1,M2,44.318294000000606,2.379055841217337e-10,0.0019117309343380734,4.614186859534844e-9,PS_fg_bg
OG0008345,RIN2,bsA1,bsA,2.7401840000002267,0.0978534989422375,M1,M2,18.98197599999912,7.552944331867817e-5,0.1950591203779913,6.726917987218144e-4,PS_bg
OG0005398,CENPJ,bsA1,bsA,15.87972400000217,6.749799178418225e-5,M1,M2,0,1,2.0003323923208804e-4,1,PS_fg
OG0009960,UBE2W,bsA1,bsA,0,1,M1,M2,106.18199200000026,0,1,0,PS_bg
OG0011994,GREB1L,bsA1,bsA,2.9208739999994577,0.0874404907394081,M1,M2,0.0034460000024409,0.9982784835111288,0.17615954131862413,1,no_PS
OG0011428,FRRS1L,bsA1,bsA,0,1,M1,M2,1.4525220000000445,0.4837142205794272,1,1,no_PS
OG0011737,TTYH2,bsA1,bsA,0,1,M1,M2,0,1,1,1,no_PS
OG0013112,NA,bsA1,bsA,27.33693200000016,1.709156032259074e-7,M1,M2,2.858484000000317,0.239490387173297,6.150389281201422e-7,0.7278745690106005,PS_fg
OG0012824,SLAMF8,bsA1,bsA,0.4626900000002933,0.4963694742925334,M1,M2,0,1,0.852882573773833,1,no_PS
OG0007678,MRTFB MKL2,bsA1,bsA,522.803358000001,0,M1,M2,6.910985999998957,0.0315717356530603,0,0.14452016661219716,PS_fg
OG0014260,LRRC42,bsA1,bsA,36.72071400000005,1.3632320827738904e-9,M1,M2,1.5089379999999435,0.4702602566410346,5.674200512477704e-9,1,PS_fg
OG0008417,LONRF2,bsA1,bsA,0.0793360000006941,0.7781992674059967,M1,M2,1.6823480000002746,0.4312039926662508,1,1,no_PS
OG0009781,DUSP16,bsA1,bsA,0,1,M1,M2,0,1,1,1,no_PS
OG0012396,ADD3,bsA1,bsA,0,1,M1,M2,0.8541420000001381,0.6524172289601426,1,1,no_PS
