GO,Genes
GO:0009987,GHRH
GO:0009987,F2RL1
GO:0009987,CAMK1
GO:0009987,MPHOSPH6
GO:0009987,NDUFA13
GO:0009987,TAMM41
GO:0009987,KDM1B
GO:0009987,HOXA11
GO:0009987,TATDN3
GO:0009987,BMPER
GO:0009987,EME2
GO:0009987,ARHGDIA
GO:0009987,TMEM38A
GO:0009987,PDE8B
GO:0009987,TMEM14A
GO:0009987,CA14
GO:0009987,CMTR2
GO:0009987,WASHC3
GO:0009987,GHSR
GO:0009987,MIGA1
GO:0009987,LMO4
GO:0009987,APLP2
GO:0009987,EPDR1
GO:0009987,CFAP410
GO:0009987,PDIA6
GO:0009987,OXA1L
GO:0009987,TMEM138
GO:0009987,TIMELESS
GO:0009987,SCG5
GO:0009987,SCG2
GO:0009987,ISCU
GO:0009987,FAIM
GO:0009987,H6PD
GO:0009987,ARHGAP17
GO:0009987,DNAJC25
GO:0009987,DTX4
GO:0009987,ADIPOR2
GO:0009987,DNAJC27
GO:0009987,TMEM123
GO:0009987,ASIC4
GO:0009987,EFNB3
GO:0009987,TASOR
GO:0009987,UAP1L1
GO:0009987,USP50
GO:0009987,SUDS3
GO:0009987,DMAP1
GO:0009987,PDZD7
GO:0009987,SMAD4
GO:0009987,PTCH1
GO:0009987,ALYREF
GO:0009987,CPSF2
GO:0009987,AZIN2
GO:0009987,TBCB
GO:0009987,TDRD6
GO:0009987,ARHGAP27
GO:0009987,TDRD5
GO:0009987,EIF2S2
GO:0009987,EIF2S1
GO:0009987,TDRD3
GO:0009987,DNAJC18
GO:0009987,TBCK
GO:0009987,ARHGAP31
GO:0009987,COQ2
GO:0009987,GDNF
GO:0009987,TMEM116
GO:0009987,JMY
GO:0009987,CHMP2A
GO:0009987,CRYL1
GO:0009987,MAP6D1
GO:0009987,GRSF1
GO:0009987,FGFR4
GO:0009987,MYF5
GO:0009987,BMPR1A
GO:0009987,ABCD4
GO:0009987,LMOD1
GO:0009987,SLC2A1
GO:0009987,DBH
GO:0009987,HEBP1
GO:0009987,HEBP2
GO:0009987,SDR16C5
GO:0009987,UPK1B
GO:0009987,SEPT7
GO:0009987,UPK1A
GO:0009987,ZC3H7B
GO:0009987,SIX2
GO:0009987,DBT
GO:0009987,POLL
GO:0009987,USP30
GO:0009987,PSTK
GO:0009987,RBM6
GO:0009987,KLF11
GO:0009987,ABCC2
GO:0009987,USP44
GO:0009987,DCXR
GO:0009987,TWNK
GO:0009987,MYRIP
GO:0009987,AXIN2
GO:0009987,LATS1
GO:0009987,HPDL
GO:0009987,THRAP3
GO:0009987,EHHADH
GO:0009987,ALDH1A1
GO:0009987,RFT1
GO:0009987,HAGH
GO:0009987,TMEM9
GO:0009987,B4GALT4
GO:0009987,CILK1
GO:0009987,CAMK1G
GO:0009987,PRTFDC1
GO:0009987,SASH3
GO:0009987,HPGD
GO:0009987,ABRAXAS1
GO:0009987,TSGA10IP
GO:0009987,POLDIP3
GO:0009987,ETFDH
GO:0009987,MTIF2
GO:0009987,TFPI
GO:0009987,USP19
GO:0009987,HSPD1
GO:0009987,DLL4
GO:0009987,RMND5A
GO:0009987,FAM120B
GO:0009987,TCFL5
GO:0009987,PTCD2
GO:0009987,CMTM3
GO:0009987,NOS2
GO:0009987,DTNBP1
GO:0009987,PPP2R3B
GO:0009987,SHCBP1
GO:0009987,CAPN10
GO:0009987,FCSK
GO:0009987,KANSL3
GO:0009987,RGS10
GO:0009987,BAX
GO:0009987,ATP13A2
GO:0009987,PDE7A
GO:0009987,RBMX
GO:0009987,CKLF
GO:0009988,TCP1
GO:0009991,PFKFB1
GO:0009991,PRKAA2
GO:0009991,BMPR2
GO:0009991,SRF
GO:0009991,SLC2A1
GO:0009991,SLC1A2
GO:0009991,PIK3R4
GO:0009991,PPM1D
GO:0009991,CBL
GO:0009991,BACH1
GO:0009991,TNF
GO:0009991,HEBP1
GO:0009991,AIFM1
GO:0009991,SESN3
GO:0009991,SESN1
GO:0009991,MLST8
GO:0009991,TLDC1
GO:0009991,FNIP1
GO:0009991,ATG7
GO:0009991,PDK2
GO:0009991,EIF2A
GO:0009991,GHSR
GO:0009991,G6PD
GO:0009991,APAF1
GO:0009991,ACSL1
GO:0009991,DNMT3A
GO:0009991,SSR3
GO:0009991,MEAK7
GO:0009991,PROX1
GO:0009991,EIF2S1
GO:0009991,GIP
GO:0009991,GHRH
GO:0009991,BMT2
GO:0009991,VPS41
GO:0009991,JMY
GO:0009991,PICK1
GO:0009991,STRAP
GO:0009991,PPARA
GO:0009991,GCLM
GO:0009991,CPEB4
GO:0009992,
GO:0009994,TDRD6
GO:0009994,TDRD5
GO:0009996,
GO:0009997,
GO:0010001,SUZ12
GO:0010001,NTRK2
GO:0010001,MAP2K1
GO:0010001,LAMB2
GO:0010001,TNF
GO:0010001,METTL14
GO:0010001,MAG
GO:0010001,MDK
GO:0010001,IL1B
GO:0010001,DAG1
GO:0010001,PLP1
GO:0010001,MXRA8
GO:0010001,DRG1
GO:0010001,PICK1
GO:0010001,TSPAN2
GO:0010001,PHGDH
GO:0010001,NKX6-1
GO:0010002,SRF
GO:0010008,PI4K2B
GO:0010008,TSG101
GO:0010008,ZFYVE9
GO:0010008,GOSR2
GO:0010008,FURIN
GO:0010008,MTMR4
GO:0010008,TMEM165
GO:0010008,APH1A
GO:0010008,MICALL1
GO:0010008,TOM1
GO:0010008,VPS11
GO:0010008,USP50
GO:0010008,RFFL
GO:0010008,SNX7
GO:0010008,WASHC3
GO:0010008,VTI1B
GO:0010008,OSBPL9
GO:0010008,NTRK2
GO:0010008,STARD3
GO:0010008,EPHA4
GO:0010008,STARD3NL
GO:0010008,ATG9A
GO:0010008,DTNBP1
GO:0010008,VPS37A
GO:0010008,HPS6
GO:0010008,RBSN
GO:0010008,TMEM175
GO:0010008,FIG4
GO:0010008,CLCN5
GO:0010008,ZFYVE16
GO:0010008,CLCN4
GO:0010008,SNX17
GO:0010008,SNX14
GO:0010008,VPS41
GO:0010008,TMBIM1
GO:0010008,NUMB
GO:0010008,CHMP2A
GO:0010008,DRG1
GO:0010008,TAB3
GO:0010008,ATP13A2
GO:0010008,TAB2
GO:0010008,MITD1
GO:0010008,TMEM9
GO:0010008,LAMTOR1
GO:0010008,LZTR1
GO:0010008,RAB7A
GO:0010009,
GO:0010021,
GO:0010025,
GO:0010032,
GO:0010033,ZFYVE9
GO:0010033,ABAT
GO:0010033,BACH1
GO:0010033,BHMG1
GO:0010033,MEIOSIN
GO:0010033,NUB1
GO:0010033,HTR7
GO:0010033,SOX17
GO:0010033,DAG1
GO:0010033,SLC12A7
GO:0010033,PDK2
GO:0010033,EIF2A
GO:0010033,EPHA4
GO:0010033,DNAAF2
GO:0010033,DAPK1
GO:0010033,ACSL1
GO:0010033,NFKBIL1
GO:0010033,RC3H1
GO:0010033,MTAP
GO:0010033,UBE2J2
GO:0010033,MTMR4
GO:0010033,PRKCZ
GO:0010033,GLG1
GO:0010033,EPB41L5
GO:0010033,HPX
GO:0010033,LTA4H
GO:0010033,NUS1
GO:0010033,WNT10B
GO:0010033,TRAP1
GO:0010033,JUN
GO:0010033,EGR3
GO:0010033,YES1
GO:0010033,PMM1
GO:0010033,IGF2
GO:0010033,NFATC1
GO:0010033,NR1D1
GO:0010033,TRERF1
GO:0010033,CPEB1
GO:0010033,EIF6
GO:0010033,TOLLIP
GO:0010033,PPP1R1B
GO:0010033,MMS19
GO:0010033,GRB2
GO:0010033,REN
GO:0010033,GSDME
GO:0010033,CPEB4
GO:0010033,IL22
GO:0010033,TRAM1
GO:0010033,PTPRN
GO:0010033,SRA1
GO:0010033,HERPUD1
GO:0010033,PQBP1
GO:0010033,SYNCRIP
GO:0010033,AIFM1
GO:0010033,CTSL
GO:0010033,HNF4A
GO:0010033,CD38
GO:0010033,UPF1
GO:0010033,HELLS
GO:0010033,ANXA3
GO:0010033,NCOA6
GO:0010033,NCOA3
GO:0010033,NCOA4
GO:0010033,SSR3
GO:0010033,IL16
GO:0010033,GFRA1
GO:0010033,IL1B
GO:0010033,PPARA
GO:0010033,EEF1E1
GO:0010033,TKT
GO:0010033,FOXC2
GO:0010033,ASAH1
GO:0010033,PTGER1
GO:0010033,WNT8A
GO:0010033,WNT8B
GO:0010033,METTL21C
GO:0010033,CXCR3
GO:0010033,TLDC1
GO:0010033,RXRG
GO:0010033,RFTN2
GO:0010033,KIDINS220
GO:0010033,USP9X
GO:0010033,F12
GO:0010033,PTGES3
GO:0010033,ERBIN
GO:0010033,MEAK7
GO:0010033,UBE2G2
GO:0010033,PSMC6
GO:0010033,JKAMP
GO:0010033,LAMTOR1
GO:0010033,NDUFA13
GO:0010033,TNF
GO:0010033,HOXA11
GO:0010033,BMPER
GO:0010033,SESN3
GO:0010033,SESN1
GO:0010033,ENPP1
GO:0010033,TMEM38A
GO:0010033,GHSR
GO:0010033,G6PD
GO:0010033,OSR1
GO:0010033,DNAJB12
GO:0010033,MUL1
GO:0010033,DNAJB14
GO:0010033,TIMELESS
GO:0010033,FKBP8
GO:0010033,PHIP
GO:0010033,PFKFB1
GO:0010033,CPB2
GO:0010033,H6PD
GO:0010033,INSIG1
GO:0010033,DDX1
GO:0010033,SLC1A2
GO:0010033,ADIPOR2
GO:0010033,BAG6
GO:0010033,BAG4
GO:0010033,LPXN
GO:0010033,DMAP1
GO:0010033,SMYD3
GO:0010033,NKX6-1
GO:0010033,SMAD4
GO:0010033,PTCH1
GO:0010033,HTR1D
GO:0010033,DHCR24
GO:0010033,EIF2S1
GO:0010033,DNAJC18
GO:0010033,DAB2
GO:0010033,TBXAS1
GO:0010033,TADA3
GO:0010033,SP5
GO:0010033,TAB2
GO:0010033,HPSE
GO:0010033,FGFR4
GO:0010033,GCLM
GO:0010033,UBE2K
GO:0010033,BMPR1A
GO:0010033,ABCD4
GO:0010033,ALAS1
GO:0010033,BMPR2
GO:0010033,CCDC47
GO:0010033,ITGB2
GO:0010033,SLC2A1
GO:0010033,DBH
GO:0010033,HEBP1
GO:0010033,MDK
GO:0010033,FUNDC1
GO:0010033,AMH
GO:0010033,KLF11
GO:0010033,TRIM63
GO:0010033,APAF1
GO:0010033,DNMT3A
GO:0010033,TWNK
GO:0010033,ETV2
GO:0010033,AXIN2
GO:0010033,RAD23B
GO:0010033,TIRAP
GO:0010033,GIP
GO:0010033,LATS1
GO:0010033,TRAF3
GO:0010033,HAND2
GO:0010033,IRF1
GO:0010033,ALDH1A1
GO:0010033,ITGA8
GO:0010033,IRF8
GO:0010033,MAN1B1
GO:0010033,CERS1
GO:0010033,BIRC2
GO:0010033,TNFRSF21
GO:0010033,HDAC4
GO:0010033,PRKAA2
GO:0010033,HPGD
GO:0010033,SRF
GO:0010033,FURIN
GO:0010033,NOD1
GO:0010033,TFPI
GO:0010033,CBL
GO:0010033,RNF5
GO:0010033,USP19
GO:0010033,HSPD1
GO:0010033,STRN3
GO:0010033,DLL4
GO:0010033,TBX21
GO:0010033,PTPN1
GO:0010033,NTRK2
GO:0010033,NOS2
GO:0010033,BAIAP2
GO:0010033,SHCBP1
GO:0010033,KLF5
GO:0010033,CAPN10
GO:0010033,FCSK
GO:0010033,CTH
GO:0010033,RGS10
GO:0010033,PDCD4
GO:0010033,BAX
GO:0010033,PTPN6
GO:0010033,RBMX
GO:0010033,CKLF
GO:0010035,PRKAA2
GO:0010035,HAAO
GO:0010035,ABAT
GO:0010035,HEBP1
GO:0010035,AIFM1
GO:0010035,ARL13B
GO:0010035,ENPP1
GO:0010035,LTA4H
GO:0010035,EIF2A
GO:0010035,G6PD
GO:0010035,JUN
GO:0010035,SYT3
GO:0010035,CMC2
GO:0010035,PTCH1
GO:0010035,TNNC1
GO:0010035,ENTPD6
GO:0010035,DNMT3A
GO:0010035,EIF2S1
GO:0010035,GIP
GO:0010035,NFATC4
GO:0010035,SYT12
GO:0010035,MTF1
GO:0010035,TIMELESS
GO:0010035,DRG1
GO:0010035,ATP13A2
GO:0010035,SLC25A12
GO:0010037,
GO:0010038,G6PD
GO:0010038,JUN
GO:0010038,SYT3
GO:0010038,PRKAA2
GO:0010038,CMC2
GO:0010038,HAAO
GO:0010038,TNNC1
GO:0010038,ENTPD6
GO:0010038,DNMT3A
GO:0010038,ABAT
GO:0010038,EIF2S1
GO:0010038,NFATC4
GO:0010038,HEBP1
GO:0010038,SYT12
GO:0010038,ARL13B
GO:0010038,MTF1
GO:0010038,DRG1
GO:0010038,ATP13A2
GO:0010038,LTA4H
GO:0010038,SLC25A12
GO:0010038,EIF2A
GO:0010039,G6PD
GO:0010039,ABAT
GO:0010040,
GO:0010041,G6PD
GO:0010042,ATP13A2
GO:0010042,EIF2S1
GO:0010042,EIF2A
GO:0010043,MTF1
GO:0010043,HAAO
GO:0010043,ATP13A2
GO:0010043,LTA4H
GO:0010044,
GO:0010045,
GO:0010046,CERS1
GO:0010070,
GO:0010085,WNT8A
GO:0010092,AXIN2
GO:0010121,
GO:0010124,
GO:0010133,
GO:0010138,
GO:0010142,HMGCS1
GO:0010155,CHP1
GO:0010157,PTCH1
GO:0010159,
GO:0010160,
GO:0010165,
GO:0010166,
GO:0010171,ANKRD11
GO:0010172,
GO:0010181,NOS2
GO:0010181,PNPO
GO:0010181,HAO1
GO:0010182,
GO:0010185,
GO:0010186,
GO:0010189,
GO:0010193,
GO:0010212,RNF168
GO:0010212,PAXIP1
GO:0010212,ABRAXAS1
GO:0010212,GADD45A
GO:0010212,DNMT3A
GO:0010212,RAD54L
GO:0010212,BAX
GO:0010212,GRB2
GO:0010212,CBL
GO:0010216,HELLS
GO:0010216,USP7
GO:0010216,UHRF1
GO:0010224,
GO:0010225,
GO:0010226,HEBP1
GO:0010226,ARL13B
GO:0010226,NFATC4
GO:0010232,ABCC2
GO:0010232,SLC2A1
GO:0010232,SLC1A2
GO:0010232,SLC7A1
GO:0010232,SLC38A5
GO:0010243,CCDC47
GO:0010243,ITGB2
GO:0010243,SLC2A1
GO:0010243,ABAT
GO:0010243,DBH
GO:0010243,BACH1
GO:0010243,TNF
GO:0010243,HERPUD1
GO:0010243,HEBP1
GO:0010243,HTR7
GO:0010243,AIFM1
GO:0010243,SESN3
GO:0010243,SESN1
GO:0010243,FUNDC1
GO:0010243,DAG1
GO:0010243,ENPP1
GO:0010243,TMEM38A
GO:0010243,PDK2
GO:0010243,GHSR
GO:0010243,KLF11
GO:0010243,EPHA4
GO:0010243,DNMT3A
GO:0010243,DNAJB12
GO:0010243,DNAJB14
GO:0010243,GIP
GO:0010243,IL1B
GO:0010243,TIMELESS
GO:0010243,PHIP
GO:0010243,MAN1B1
GO:0010243,PPARA
GO:0010243,TKT
GO:0010243,BIRC2
GO:0010243,PFKFB1
GO:0010243,FOXC2
GO:0010243,PTGER1
GO:0010243,INSIG1
GO:0010243,SLC1A2
GO:0010243,NOD1
GO:0010243,UBE2J2
GO:0010243,PRKCZ
GO:0010243,RNF5
GO:0010243,USP19
GO:0010243,BAG6
GO:0010243,TLDC1
GO:0010243,LTA4H
GO:0010243,NKX6-1
GO:0010243,PTPN1
GO:0010243,NTRK2
GO:0010243,WNT10B
GO:0010243,JUN
GO:0010243,HTR1D
GO:0010243,ERBIN
GO:0010243,IGF2
GO:0010243,MEAK7
GO:0010243,UBE2G2
GO:0010243,BAIAP2
GO:0010243,DNAJC18
GO:0010243,CPEB1
GO:0010243,PSMC6
GO:0010243,EIF6
GO:0010243,CAPN10
GO:0010243,FCSK
GO:0010243,JKAMP
GO:0010243,PPP1R1B
GO:0010243,GRB2
GO:0010243,REN
GO:0010243,LAMTOR1
GO:0010243,GCLM
GO:0010243,CPEB4
GO:0010248,BAX
GO:0010255,
GO:0010256,PI4K2B
GO:0010256,TRAM1
GO:0010256,RETREG3
GO:0010256,UBXN2B
GO:0010256,SERPINE2
GO:0010256,PTPRN
GO:0010256,CCDC47
GO:0010256,EMC10
GO:0010256,LMNB2
GO:0010256,BAIAP2L2
GO:0010256,AP1G1
GO:0010256,TMEM38A
GO:0010256,ZNF385A
GO:0010256,PRMT5
GO:0010256,MYOF
GO:0010256,ATG9A
GO:0010256,COG3
GO:0010256,GOLPH3L
GO:0010256,COG1
GO:0010256,VPS37A
GO:0010256,EMP2
GO:0010256,LEMD3
GO:0010256,SHTN1
GO:0010256,ALS2
GO:0010256,GORASP2
GO:0010256,TBPL1
GO:0010256,TMEM9
GO:0010256,VAMP4
GO:0010256,SEC22B
GO:0010256,ARHGEF7
GO:0010256,OBSL1
GO:0010256,TSG101
GO:0010256,BAG6
GO:0010256,EPB41L3
GO:0010256,MICALL1
GO:0010256,EMC2
GO:0010256,VPS11
GO:0010256,PACSIN3
GO:0010256,USP50
GO:0010256,VTI1B
GO:0010256,ARFGEF2
GO:0010256,PLK3
GO:0010256,DMPK
GO:0010256,CAVIN2
GO:0010256,HPS1
GO:0010256,DTNBP1
GO:0010256,TRAPPC8
GO:0010256,HPS6
GO:0010256,BAIAP2
GO:0010256,MFSD14A
GO:0010256,LPCAT3
GO:0010256,CHMP2A
GO:0010256,RAB18
GO:0010256,DRG1
GO:0010256,LAMTOR1
GO:0010256,TARDBP
GO:0010257,OXA1L
GO:0010257,NDUFA13
GO:0010257,AIFM1
GO:0010257,NDUFS7
GO:0010257,NDUFAF3
GO:0010257,NDUFB1
GO:0010257,NDUFAF1
GO:0010259,SLC1A2
GO:0010265,
GO:0010266,
GO:0010269,GIP
GO:0010272,
GO:0010273,
GO:0010286,
GO:0010288,DNMT3A
GO:0010308,
GO:0010309,
GO:0010310,
GO:0010312,
GO:0010314,SH3PXD2A
GO:0010314,TOM1
GO:0010324,ALKBH4
GO:0010324,ITGB2
GO:0010324,CHMP2A
GO:0010324,SPIRE1
GO:0010332,BAX
GO:0010332,CBL
GO:0010335,
GO:0010340,
GO:0010348,
GO:0010359,
GO:0010360,
GO:0010369,
GO:0010370,
GO:0010385,
GO:0010387,COPS8
GO:0010389,RAD51B
GO:0010389,WNT10B
GO:0010389,ABRAXAS1
GO:0010389,RAD17
GO:0010389,ZNF830
GO:0010389,MTA3
GO:0010390,RNF168
GO:0010390,UHRF1
GO:0010420,
GO:0010421,
GO:0010424,
GO:0010428,
GO:0010430,
GO:0010436,
GO:0010437,
GO:0010446,
GO:0010447,CHP1
GO:0010447,GIP
GO:0010452,
GO:0010453,SOX17
GO:0010453,LMO4
GO:0010453,TBX21
GO:0010453,MTA3
GO:0010453,BMPR1A
GO:0010453,GATAD2A
GO:0010454,TBX21
GO:0010455,
GO:0010457,
GO:0010458,CHMP2A
GO:0010459,SRI
GO:0010459,TNF
GO:0010460,
GO:0010463,SIX2
GO:0010463,HAND2
GO:0010463,OSR1
GO:0010463,PHF14
GO:0010463,DCHS1
GO:0010464,PHF14
GO:0010464,BMPR1A
GO:0010465,
GO:0010466,PCID2
GO:0010466,RNF34
GO:0010466,SERPINE2
GO:0010466,APLP2
GO:0010466,PIH1D1
GO:0010466,ITIH6
GO:0010466,WFDC1
GO:0010466,XIAP
GO:0010466,FURIN
GO:0010466,DHCR24
GO:0010466,TFPI
GO:0010466,TNF
GO:0010466,C5
GO:0010466,DNAJB6
GO:0010466,SIMC1
GO:0010466,RFFL
GO:0010466,FNIP1
GO:0010466,AGXT
GO:0010466,BIRC2
GO:0010467,POP5
GO:0010467,POP1
GO:0010467,POP4
GO:0010467,JMJD1C
GO:0010467,ABRA
GO:0010467,RPL7
GO:0010467,PNN
GO:0010467,SOX17
GO:0010467,HENMT1
GO:0010467,GPBP1
GO:0010467,DPF1
GO:0010467,CIAO2B
GO:0010467,EIF2A
GO:0010467,ABT1
GO:0010467,AQR
GO:0010467,MBNL1
GO:0010467,SMARCC2
GO:0010467,TYW5
GO:0010467,PIH1D1
GO:0010467,WDR74
GO:0010467,DNTTIP2
GO:0010467,IMP4
GO:0010467,GTPBP3
GO:0010467,SRRM1
GO:0010467,MIP
GO:0010467,WDR82
GO:0010467,SARNP
GO:0010467,TBPL1
GO:0010467,ZNF830
GO:0010467,NAA60
GO:0010467,BAZ2A
GO:0010467,TRMT2A
GO:0010467,RTF1
GO:0010467,RPAP1
GO:0010467,HTATSF1
GO:0010467,GLG1
GO:0010467,MRPL11
GO:0010467,APH1A
GO:0010467,DHX33
GO:0010467,PDCD11
GO:0010467,DPH3
GO:0010467,DHX37
GO:0010467,SYMPK
GO:0010467,RCE1
GO:0010467,AAR2
GO:0010467,TRMT1L
GO:0010467,RBM10
GO:0010467,NAA50
GO:0010467,WNT10B
GO:0010467,FN1
GO:0010467,NFATC1
GO:0010467,LARP4
GO:0010467,NFATC4
GO:0010467,CPEB1
GO:0010467,EIF5
GO:0010467,EIF6
GO:0010467,CWF19L1
GO:0010467,PPP1R1B
GO:0010467,MMS19
GO:0010467,REN
GO:0010467,DHX29
GO:0010467,CPEB4
GO:0010467,INTS14
GO:0010467,FASTKD1
GO:0010467,GFM2
GO:0010467,ZBTB8OS
GO:0010467,NAT10
GO:0010467,SRA1
GO:0010467,PHF8
GO:0010467,PQBP1
GO:0010467,SYNCRIP
GO:0010467,MRPL42
GO:0010467,CTSL
GO:0010467,HNF4A
GO:0010467,ELOA
GO:0010467,RRP12
GO:0010467,UTP14A
GO:0010467,RRP15
GO:0010467,UPF1
GO:0010467,PRMT5
GO:0010467,GP1BB
GO:0010467,NCOA6
GO:0010467,PROX1
GO:0010467,CBFA2T3
GO:0010467,MLF1
GO:0010467,RNF168
GO:0010467,BACE2
GO:0010467,CTU1
GO:0010467,MRPL51
GO:0010467,HNRNPH1
GO:0010467,IL1B
GO:0010467,MTF1
GO:0010467,MED20
GO:0010467,STRAP
GO:0010467,HNRNPH3
GO:0010467,PABPC1
GO:0010467,EEF1E1
GO:0010467,ELOF1
GO:0010467,MRPS35
GO:0010467,RPL12
GO:0010467,NOL9
GO:0010467,NRAP
GO:0010467,METTL5
GO:0010467,GPBP1L1
GO:0010467,EXOSC3
GO:0010467,EXOSC1
GO:0010467,TEFM
GO:0010467,TRMT10C
GO:0010467,UTP4
GO:0010467,F12
GO:0010467,WDR18
GO:0010467,ELP1
GO:0010467,RPA2
GO:0010467,GATB
GO:0010467,DOHH
GO:0010467,RRP1B
GO:0010467,GTF2H3
GO:0010467,HINFP
GO:0010467,SPCS3
GO:0010467,PHF5A
GO:0010467,TCEA3
GO:0010467,TARDBP
GO:0010467,MPHOSPH6
GO:0010467,CCNT2
GO:0010467,ICE2
GO:0010467,YARS1
GO:0010467,TNF
GO:0010467,PLAU
GO:0010467,ENPP1
GO:0010467,CIR1
GO:0010467,GGT1
GO:0010467,CMTR2
GO:0010467,PCID2
GO:0010467,RPS8
GO:0010467,SWAP70
GO:0010467,AIP
GO:0010467,RPP21
GO:0010467,SCG5
GO:0010467,CARS2
GO:0010467,SNRPB
GO:0010467,GCM2
GO:0010467,DDX1
GO:0010467,UTP23
GO:0010467,PSEN2
GO:0010467,TASP1
GO:0010467,LPXN
GO:0010467,NKX6-1
GO:0010467,YARS
GO:0010467,SMAD4
GO:0010467,DR1
GO:0010467,PTCH1
GO:0010467,ALYREF
GO:0010467,CPSF2
GO:0010467,DHCR24
GO:0010467,EIF2S2
GO:0010467,EIF2S1
GO:0010467,CHERP
GO:0010467,LSM7
GO:0010467,SON
GO:0010467,COPS5
GO:0010467,CPE
GO:0010467,HPSE
GO:0010467,GRSF1
GO:0010467,ZNF410
GO:0010467,DIDO1
GO:0010467,DDX47
GO:0010467,TENT4A
GO:0010467,METTL14
GO:0010467,HHEX
GO:0010467,ZC3H7B
GO:0010467,POLL
GO:0010467,PSTK
GO:0010467,RBM6
GO:0010467,APAF1
GO:0010467,ELAC2
GO:0010467,ELAC1
GO:0010467,DDX56
GO:0010467,TWNK
GO:0010467,THRAP3
GO:0010467,IRF1
GO:0010467,POLR1E
GO:0010467,GTF3C3
GO:0010467,POLDIP3
GO:0010467,SRF
GO:0010467,RPL36A
GO:0010467,FURIN
GO:0010467,PRCP
GO:0010467,MTIF2
GO:0010467,MRM1
GO:0010467,HSPD1
GO:0010467,E2F2
GO:0010467,RPP14
GO:0010467,TCFL5
GO:0010467,NOP58
GO:0010467,TAF15
GO:0010467,SSB
GO:0010467,PTCD2
GO:0010467,FKRP
GO:0010467,TAF13
GO:0010467,MCM3AP
GO:0010467,SNRNP40
GO:0010467,ERCC3
GO:0010467,POLR3F
GO:0010467,DRG1
GO:0010467,TAF5
GO:0010467,TRMT61A
GO:0010467,EIF3D
GO:0010467,RBMX
GO:0010468,SMARCAL1
GO:0010468,SERPINE2
GO:0010468,JMJD1C
GO:0010468,IKZF1
GO:0010468,BACH1
GO:0010468,ABRA
GO:0010468,ELK3
GO:0010468,BHMG1
GO:0010468,MEIOSIN
GO:0010468,MSANTD1
GO:0010468,RAVER1
GO:0010468,SOX17
GO:0010468,HENMT1
GO:0010468,TRIM29
GO:0010468,ZMIZ2
GO:0010468,OGFOD1
GO:0010468,GPBP1
GO:0010468,DPF1
GO:0010468,C3AR1
GO:0010468,EIF2A
GO:0010468,ABT1
GO:0010468,MBNL1
GO:0010468,SMARCC2
GO:0010468,MUSK
GO:0010468,DAPK1
GO:0010468,PIH1D1
GO:0010468,NFKBIL1
GO:0010468,MRTFB
GO:0010468,RC3H1
GO:0010468,SRRM1
GO:0010468,WDR82
GO:0010468,SARNP
GO:0010468,RFX5
GO:0010468,L3MBTL1
GO:0010468,NLRX1
GO:0010468,PAXIP1
GO:0010468,BAZ2A
GO:0010468,PRDM13
GO:0010468,RTF1
GO:0010468,HTATSF1
GO:0010468,PRKCZ
GO:0010468,PRDM10
GO:0010468,GLG1
GO:0010468,GIGYF2
GO:0010468,EPB41L5
GO:0010468,HPX
GO:0010468,C5
GO:0010468,DHX33
GO:0010468,NHLH1
GO:0010468,DPH3
GO:0010468,PCBP2
GO:0010468,ZNF821
GO:0010468,DPH7
GO:0010468,RBM10
GO:0010468,TRAP1
GO:0010468,CDK18
GO:0010468,WNT10B
GO:0010468,PLK3
GO:0010468,JUN
GO:0010468,EGR3
GO:0010468,YES1
GO:0010468,GADD45A
GO:0010468,FN1
GO:0010468,IGF2
GO:0010468,POU6F2
GO:0010468,UPF3B
GO:0010468,NFATC1
GO:0010468,NR1D1
GO:0010468,LARP4
GO:0010468,TRERF1
GO:0010468,NFATC4
GO:0010468,MLLT11
GO:0010468,CPEB1
GO:0010468,ZBTB6
GO:0010468,EIF5
GO:0010468,TADA2A
GO:0010468,EIF6
GO:0010468,ZUP1
GO:0010468,NOSTRIN
GO:0010468,MMS19
GO:0010468,LRRN1
GO:0010468,DHX29
GO:0010468,RCOR3
GO:0010468,RCOR1
GO:0010468,CC2D1A
GO:0010468,DCP1B
GO:0010468,CPEB4
GO:0010468,CDKN1C
GO:0010468,BARHL1
GO:0010468,CSRNP2
GO:0010468,TRAM1
GO:0010468,INTS14
GO:0010468,FASTKD1
GO:0010468,PTPRN
GO:0010468,SETD7
GO:0010468,NAT10
GO:0010468,SRA1
GO:0010468,LIMD1
GO:0010468,MEOX2
GO:0010468,PHF8
GO:0010468,PQBP1
GO:0010468,SYNCRIP
GO:0010468,HNF4A
GO:0010468,SUFU
GO:0010468,XPO5
GO:0010468,ELOA
GO:0010468,CD38
GO:0010468,PHGDH
GO:0010468,ANKRD2
GO:0010468,IKBKG
GO:0010468,FEZF2
GO:0010468,PANX3
GO:0010468,BRD3
GO:0010468,UPF1
GO:0010468,HELLS
GO:0010468,PRMT5
GO:0010468,ARG2
GO:0010468,ZHX3
GO:0010468,ATMIN
GO:0010468,ANXA3
GO:0010468,NCOA6
GO:0010468,NCOA3
GO:0010468,NCOA4
GO:0010468,SIRT4
GO:0010468,IL16
GO:0010468,PROX1
GO:0010468,COMMD6
GO:0010468,BAZ1B
GO:0010468,PARP9
GO:0010468,CBFA2T3
GO:0010468,ZHX1
GO:0010468,MLF1
