FUN_000001	FUN_000001-T1		
FUN_000002	FUN_000002-T1		GO:0016021 GO:0016491
FUN_000003	FUN_000003-T1		
FUN_000004	FUN_000004-T1	TUBGCP2	GO:0005815 GO:0000922 GO:0043015 GO:0007020 GO:0000226
FUN_000005	FUN_000005-T1	ERLIN1	GO:0005783 GO:0031625
FUN_000006	FUN_000006-T1		
FUN_000007	FUN_000007-T1		GO:0004497 GO:0005506 GO:0020037 GO:0016705
FUN_000007	FUN_000007-T2		GO:0004497 GO:0005506 GO:0020037 GO:0016705
FUN_000008	FUN_000008-T1	DNAL4	GO:0030286 GO:0007017
FUN_000009	FUN_000009-T1	AP1M1	GO:0030131 GO:0016192 GO:0006886
FUN_000010	FUN_000010-T1	RAB8A	GO:0005525 GO:0003924
FUN_000011	FUN_000011-T1	TPM3_1	
FUN_000012	FUN_000012-T1		
FUN_000013	FUN_000013-T1		GO:0005515 GO:0005509
FUN_000013	FUN_000013-T2		GO:0005515 GO:0005509
FUN_000015	FUN_000015-T1		GO:0005783 GO:0005515 GO:0005509 GO:0051082 GO:0006457
FUN_000016	FUN_000016-T1		
FUN_000017	FUN_000017-T1		GO:0003723 GO:0003676 GO:0006874 GO:0006396
FUN_000017	FUN_000017-T2		GO:0003723 GO:0006874 GO:0006396
FUN_000018	FUN_000018-T1		
FUN_000019	FUN_000019-T1	MED26	GO:0016592 GO:0005634 GO:0006357
FUN_000020	FUN_000020-T1	TMEM38A	GO:0016020 GO:0042802 GO:0005267 GO:0071805
FUN_000021	FUN_000021-T1		
FUN_000022	FUN_000022-T1		
FUN_000023	FUN_000023-T1	NWD1	GO:0005515
FUN_000024	FUN_000024-T1		
FUN_000025	FUN_000025-T1	SIN3B	GO:0003714 GO:0006355
FUN_000026	FUN_000026-T1		
FUN_000027	FUN_000027-T1	F2RL3	GO:0016021 GO:0015057 GO:0004930 GO:0007596 GO:0007186 GO:0070493
FUN_000028	FUN_000028-T1	CPAMD8_1	GO:0005615 GO:0005576 GO:0005515
