Orthogroups,Gene,k,LRT,P-value,Adj. P-value
OG0005343,VAPA,4.009212717780294,103.8773685967471,0,0
OG0005366,PPP1R3A,5.274145000820785,222.0361012787944,0,0
OG0005372,MMP17,10.95567790007442,157.8843918855473,0,0
OG0005397,DNAAF2,3.958193315693176,159.72677206850491,0,0
OG0005407,NPFFR1,9.74260794758328,136.2362607804725,0,0
OG0005425,,7.497386799427171,171.2876212947076,0,0
OG0005433,AIP,11.31443373937767,86.90069120891803,0,0
OG0005454,PHACTR2,6.342477354499271,76.20136496303166,0,0
OG0005510,ELK3,7.85736783018682,76.03313638700638,0,0
OG0005559,RBSN,5.982465286615812,163.1793559441594,0,0
OG0005612,DHX37,4.185557827638329,82.72041257353703,0,0
OG0005624,MAL2,14.00720068250918,128.0488959131917,0,0
OG0005627,INSIG1,12.18358354095575,83.59100817439412,0,0
OG0005651,FUNDC1,7.454346359111307,78.82163687688626,0,0
OG0005673,BACE2,5.053512297477681,75.84871948005093,0,0
OG0005692,CRYZL1,12.2032038181027,191.5378788760036,0,0
OG0005717,UNC45B,2.679227306253666e-4,202.5940133293043,0,0
OG0005728,SSC4D,5.701685079543797,187.2833821211425,0,0
OG0005772,TSPYL2,6.179934451804725,229.1758089092491,0,0
OG0005775,CACNA1F,3.613092185887583,211.6476134494951,0,0
OG0005811,SLC35E1,26.22863089053066,110.7627488762173,0,0
OG0005866,GHSR,5.711388082427362,90.67460937116266,0,0
OG0005914,KAT14,5.02316110518433,257.8864960525298,0,0
OG0005931,CA5A,11.84377026633107,256.1508054924634,0,0
OG0005994,L1CAM,4.364408862182175,123.5837826958814,0,0
OG0006007,TKTL1,4.380831429365735,97.27956236695536,0,0
OG0006064,MYOT,3.980369332414784,88.80953123994368,0,0
OG0006079,BCAS1,12.56107921159324,133.5069352379742,0,0
OG0006089,DRC3,6.101877098115108,75.99504767592953,0,0
OG0006105,EMP2,11.54988613927053,83.86388522687412,0,0
OG0006113,TXNDC11,3.46220324217818,81.72398464676007,0,0
OG0006130,GTF3C3,6.783870917767285,90.87867567845024,0,0
OG0006150,PTPRF,49.99999999999989,164.9396738410542,0,0
OG0006174,ATG101,6.31602641154718,81.758866069351825,0,0
OG0006196,HRH2,4.231852516991183,101.0609678348337,0,0
OG0006225,YEATS2,7.986368353293594,307.8145438558422,0,0
OG0006234,CPT1B,6.93338784017003,74.30911037745864,0,0
OG0006253,RPA2,8.557340735104088,71.15271619439682,0,0
OG0006308,ALKBH7,16.16832741837668,85.24421322516173,0,0
OG0006329,,26.95871511978239,221.9354280753109,0,0
OG0006332,CAMK1,8.953164872865154,90.12503076834491,0,0
OG0006367,GCLM,10.15620640472808,80.03108323828974,0,0
OG0006374,RWDD3,5.514065976560888,75.22846900668719,0,0
OG0006393,,2.591089350562433,109.5056670103913,0,0
OG0006443,RPAP1,3.319368240240949,71.57869592479983,0,0
OG0006448,CHP1,10.84056849356867,84.22352898269992,0,0
OG0006451,DLL4,4.657423449322783,76.06682710326822,0,0
OG0006462,XKRX,8.663476242935221,80.48642065713102,0,0
OG0006505,SRD5A3,7.624494020154187,224.5729355116109,0,0
OG0006524,SYTL2,2.531368079165631,106.1967670447484,0,0
OG0006527,ELF1,13.22743703787138,144.9427859042225,0,0
OG0006569,KCNB2,7.943530090191148,214.986276629199,0,0
OG0006598,TXLNB,8.303101772950786,77.21063839940325,0,0
OG0006625,ENPP1,15.98735891225081,329.8044816737456,0,0
OG0006777,PRKAG3,3.913105320287177,82.35693999520663,0,0
OG0006801,EGR3,9.877225482565385e-7,81.12731984915263,0,0
OG0006826,TMPRSS9,4.535674732952976,105.860386010263,0,0
OG0006829,CACNG4,13.50232520054859,116.4839099750689,0,0
OG0006859,ELAC1,9.043017430417542,124.6566536399696,0,0
OG0006899,CHAF1A,3.177696414806228,76.07966334916637,0,0
OG0006939,PAQR3,20.1028721556555,136.1024229005507,0,0
OG0006997,DOHH,7.277446322846512,72.30062301583621,0,0
OG0007050,TNS4,5.870701540826202,118.3253903486147,0,0
OG0007087,SESN1,8.484245390803746,197.3950252999202,0,0
OG0007091,FIG4,6.344330245851348,120.0064466024305,0,0
OG0007168,EEF1AKMT1,10.76334855831199,130.3772982240325,0,0
OG0007180,STON2,6.46843415301619,139.2297877129622,0,0
OG0007221,ABCD4,5.689423622503791,89.32409668780201,0,0
OG0007298,FILIP1L,0.3371580065619858,90.62353603821975,0,0
OG0007329,TMEM223,6.714329624601091,72.93253060917414,0,0
OG0007345,HRNR,5.0325863291456034,127.7086610717306,0,0
OG0007347,LINGO4,5.597959822709218,73.66524123986528,0,0
OG0007357,GOLPH3L,20.32122074774483,96.32944356243117,0,0
OG0007395,BRD3,21.14773352535406,430.8975872159626,0,0
OG0007399,IL11RA,5.239693750759775,84.34757986516342,0,0
OG0007456,TMEM116,8.118852938696984,101.9254306747298,0,0
OG0007467,USP30,5.705831414683833,103.8992452156344,0,0
OG0007503,FKTN,8.090190116405111,103.0870571629266,0,0
OG0007565,SHB,10.43681393941832,206.5313874576095,0,0
OG0007672,N6AMT1,13.53741861446773,178.1030549715188,0,0
OG0007801,PREB,4.934601582715326,71.77947709074488,0,0
OG0007811,ZNF513,2.769757058494375,137.1656978533247,0,0
OG0007887,COL1A2,3.624670900153795,239.5813487559644,0,0
OG0007890,OPA1,3.951755607176688,109.3297923400714,0,0
OG0007898,DLG1,4.426746246396736,160.9516020198571,0,0
OG0007968,NEGR1,4.195000100701039,76.11405264786572,0,0
