Orthogroup,Gene,Model,Log likelihood,Estimated parameters,Proportion background 0,Omega background 0,Proportion test 0,Omega test 0,Proportion background 1,Omega background 1,Proportion test 1,Omega test 1,Proportion background 2,Omega background 2,Proportion test 2,Omega test 2
OG0005292,LIN28B,Unconstrained model,-1859.312217953509,43,12.523544980732401,7.799764105113391e-5,37.65314138100057,0,86.08888143744437,0.0944557558791755,59.33200641376618,0.06139904912632185,1.38757358182323,963.7900415191917,3.0148522052332467,9.868040821555628
OG0005293,BVES,Unconstrained model,-2937.644451016793,45,96.55506865097348,0.1403069925451354,61.233448348516006,0.03638874741264357,0.3053355377732415,1,37.964355623498555,0.5782547022797712,3.139595811253273,33.58629307010831,0.8021960279854394,9999999171.59636
OG0005294,PREP,Unconstrained model,-4462.358009416531,44,91.9207208692297,0,35.489967393379864,0.2178246804821575,4.945709550638537,0,62.99462465472926,0.3999917995477704,3.1335695801317627,4.311732428705075,1.515407951890879,1
OG0005295,PRDM1,Unconstrained model,-5035.983658267707,44,0.41389010805882154,0.07692668727870186,0,0.04766952321517308,76.88064684040471,0.07818112095239604,100,0.1302793417205205,22.70546305153647,0.6075586372124478,0,1.001529088231385
OG0005296,ATG5,Unconstrained model,-1550.152913696482,43,27.62528087008866,0.02952968077452158,100,0,20.17136096782249,0.07993378478211878,0,0.005363644035494348,52.203358162088854,0.1550742748530593,0,1.11201257595071
OG0005297,CRYBG1,Unconstrained model,-14268.80405083281,45,97.68356372239184,0.3919301323044842,1.704369372327097,0.4007709884488625,0.8849067316271645,1,98.25215577818065,0.4032479893112901,1.431529545980994,12.50549810298882,0.04347484949225338,9998.990001009473
OG0005298,RTN4IP1,Unconstrained model,-3246.132104824361,44,98.69991790819849,0.2473374426435547,20.54463871022667,0.05110987503290611,0.05504476238878022,0.2499902863616944,49.34957838058456,0.1299548274750668,1.245037329412733,92.18478674006039,30.105782909188772,1
OG0005299,QRSL1,Unconstrained model,-3800.421651372304,44,5.691152251503465,0.003063893261563327,0,1.04256486684445e-4,93.28660962096697,0.1430929964545948,100,0.2998025706738545,1.022238127529559,8.767201567282234,0,1.001245136468504
OG0005300,MTRES1 CUNH6ORF203,Unconstrained model,-1604.139332105708,42,0,0.1476525129059486,0,0.7189346219868838,100,0.3397288873195496,100,1,0,0.3489203002739044,0,1.340340429681577
OG0005301,PDSS2,Unconstrained model,-2700.885321481911,42,0.8593278642676231,0,71.8133190252701,0.002269326532409257,98.93659942248185,0.3064791822388993,17.17553094975547,0.1432456505844432,0.2040727132505356,134.4487259988501,11.01115002497442,2.103189077681196
OG0005302,SOBP,Unconstrained model,-5021.648296577635,43,30.57955166011172,0.1140050925133917,77.82814407582372,0.1701068474891821,69.42044833988828,0.1687396995361451,7.239562474400232,0.4407326030291658,0,0.5158943680432929,14.932293449776049,1
OG0005303,SCML4,Unconstrained model,-2660.941649070215,42,78.29187588030724,0,91.15376988087365,0.2392170602228592,6.965112449138655,0,2.927927478427778,1,14.743011670554099,0.6310622106008458,5.918302640698563,4.356114057665698
OG0005304,SEC63,Unconstrained model,-4416.07218627562,43,81.1168677805236,0,74.62635727827629,0.0316826677676263,0.02561358895018736,0,24.132076377261292,0.06237697679925646,18.85751863052621,0.5258557578318034,1.241566344462424,1
OG0005305,OSTM1,Unconstrained model,-3031.309696845988,45,1.452546865093551,0,19.244301148729758,0.1275273752684954,97.95108942622097,0.4410702918721484,80.61914217557351,0.2492517259156306,0.5963637086854772,456.8913264372076,0.1365566756967238,4000.553948546692
OG0005306,NR2E1,Unconstrained model,-2271.79478900642,44,75.57451621271076,1.068245041113707e-4,83.31115635679592,0.01586890771852696,23.85248181105931,0.02946474400689279,9.170070497684087,0.04821729311124933,0.5730019762299209,0.03081708340457684,7.518773145520001,1.382639709647567
OG0005307,SNX3,Unconstrained model,-925.0030864177708,41,54.27604168045688,0.05752580985275779,73.78537336655818,0.74221883859038,45.723958319543115,0.1538089047695786,0,0.8900527137474102,0,0.1567910735192087,26.214626633441817,1.037284779641239
OG0005308,AFG1L,Unconstrained model,-3019.688502357288,45,99.77041747424875,0.2177205893283506,86.31616164731986,0.2345089715241079,0.057250597060754034,1,9.236366927563747,0.2656944359374818,0.1723319286904945,272.2312258102099,4.447471425116397,2.09409580239295
OG0005309,FOXO3,Unconstrained model,-3932.300498090551,45,99.64186365861194,0.08192948544457998,29.63022331636121,5.448098349767193e-4,0.2003402440439184,0.0836562491537499,70.13642995529075,0.03885905100732984,0.1577960973441417,52.21601019316911,0.2333467283480376,9999999171.59636
OG0005310,SESN1,Unconstrained model,-4484.804090436699,43,10.7710791744835,0,64.72321263037742,0.05002235919977013,76.47708861960079,0,28.50754122886033,0.08448000794346402,12.75183220591572,0.9807325959652916,6.7692461407622515,254.9941063898037
OG0005311,CEP57L1,Unconstrained model,-3677.080117657685,43,1.466898282713276,0.1081200724035935,97.25316260020838,0,96.27585092188365,0.2485319361641575,1.1966117631770972,0,2.257250795403081,8.151457511840716,1.550225636614516,112.1362322322607
OG0005312,PPIL6,Unconstrained model,-2202.91784852738,42,0.3846132215066811,0,31.269614575474268,0.1623198635941351,99.35347287903834,0.2878524360906306,58.94616138786971,0.3153359991056038,0.26191389945497856,155.9900591902979,9.784224036656006,1
OG0005313,ZBTB24,Unconstrained model,-5090.532739361594,44,0.8156409034312834,0.02402230023432367,83.22198134601365,0.06558834069910505,98.01977849168848,0.09622212044981768,0,0.7977119198710477,1.164580604880236,14.12946950585301,16.77801865398635,1.579753926792369
OG0005314,FIG4,Unconstrained model,-5216.453777562923,44,31.50732942844556,7.633321387620197e-4,96.59319898631561,0,15.751490081771319,0.02087907850870391,1.148894210462942,0,52.74118048978311,0.08646787112895139,2.2579068032214487,621.8669146610787
OG0005315,GPR6,Unconstrained model,-2034.368244543633,44,0,1.828082955586473e-4,0,0.003706929215330409,13.88514214558662,0.01317723699616101,100,0.02972878577296635,86.11485785441337,0.07413137767839013,0,1.002330882617735
OG0005316,WASF1,Unconstrained model,-3622.814078682019,44,96.83028033348388,0.05989570506285547,85.35908452110193,0.002040213314668959,2.718091498188326,0.08399861261332767,4.761368379736506,0.04431248897742777,0.45162816832778724,9999.99999999834,9.879547099161556,1.416782853993601
OG0005317,CDC40,Unconstrained model,-3721.423489322474,43,1.512673962629151,0.01429517263949092,0,0.02055397843526879,97.33079146572946,0.06419875861534248,100,0.02312688959046599,1.1565345716413882,16.88332800030108,0,1.001561646149908
OG0005318,DDO,Unconstrained model,-2752.802755947142,43,89.57311038916316,0.0797174296695742,12.012940552031399,1.002599129820482e-9,4.852859328456045,0.2794170327182782,18.16585232755498,1.650855005540026e-9,5.574030282380786,7.500862619503671,69.82120712041363,1
OG0005319,SLC22A16,Unconstrained model,-4077.837321732897,43,0.46302653377872277,0.06688148144139182,31.67909496959626,0.1557620991120418,96.03641855637571,0.07978539296612175,55.91814504098252,0.1964669246853944,3.5005549098455644,8.062190001978284,12.40275998942122,1
OG0005320,CDK19,Unconstrained model,-3631.965136659214,43,95.07781417242592,5.526573335273131e-7,4.675056763270012,0,3.131999576055114,0.7376028709705534,89.15077009119564,0,1.790186251518975,68.42090177468103,6.174173145534346,184.8000462580652
OG0005321,AMD1,Unconstrained model,-1653.881246983594,43,0.5352004683167665,0.04499269214940984,82.02645072122023,0.01770963748137107,86.28423890426332,0.1204244967674132,13.352659564544869,0.1385495223270029,13.180560627419899,0.2345049610175993,4.620889714234909,1.333893171236091
OG0005322,SLC16A10,Unconstrained model,-4210.542837808915,44,0.9129162290383565,0.2605474332125453,93.24766242482175,0.1516563184903297,97.2104664684875,0.3501312711682257,6.56230193779634,0.1919012764846147,1.876617302474144,15.08671425233029,0.1900356373819067,366.7066400881722
OG0005323,MFSD4B,Unconstrained model,-5344.708609205084,44,0.8915940467281611,0.04987174474025319,0,0.1646664658094225,97.27759819742747,0.2477046375418097,100,0.4028095817278616,1.8308077558443658,6.875885292745068,0,1.001667387428929
OG0005324,REV3L,Unconstrained model,-19638.6626693689,43,76.17228957033333,0.04722958286977194,38.800583450727835,0.2539402670466155,2.393394181334554,0.1920611900679575,61.199416549272165,0.4353866710960726,21.43431624833212,1.170797502813112,0,1.001564863437289
OG0005325,TRAF3IP2,Unconstrained model,-4572.946526522989,45,0.8474458467267962,0,97.39623597852052,0.1901353720071349,98.96051893656544,0.3792391663443509,2.27873394674054,0.2211970070449017,0.1920352167077701,72.45433921877888,0.325030074738942,133.9931589595462
OG0005326,TUBE1,Unconstrained model,-3055.814176762619,42,19.63107953730872,0.001342697350961019,81.15096739677698,0.001541495233322848,22.53761589985436,0.007627854209970255,16.731970342009568,0.06658402059818512,57.83130456283693,0.1466830821858993,2.1170622612134578,202.8735980464731
OG0005327,LAMA4,Unconstrained model,-12296.06524182188,45,99.8832235830571,0.2243022580545827,99.3005571115643,0.1450193268734098,0.042794413263431266,1,0.4945237443967616,0.1458049586986641,0.07398200367946738,2856.938566979254,0.2049191440389357,547.9230133585887
